% Model:              DipoleAxial_above2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 13 2025, 11:51
% Dimension:          1
% Nodes:              1001
% Expressions:        82
% Description:        Radiation pattern
% theta                   Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      1.5197673581605647E-11   0.006283185307179587     2.853313639477144E-11    0.006283185307179587     4.6411566658383594E-11   0.006283185307179587     6.279080717283655E-11    0.006283185307179587     7.675520324155498E-11    0.006283185307179587     9.141476283970468E-11    0.006283185307179587     1.0244388660771332E-10   0.006283185307179587     1.1355189904138882E-10   0.006283185307179587     1.238359964242542E-10    0.006283185307179587     1.3374837592129883E-10   0.006283185307179587     1.4338460275073005E-10   0.006283185307179587     1.5320776495965067E-10   0.006283185307179587     1.6320791733058855E-10   0.006283185307179587     1.7358820918429885E-10   0.006283185307179587     1.8407995099451624E-10   0.006283185307179587     1.9457203613423874E-10   0.006283185307179587     2.0531778640024798E-10   0.006283185307179587     2.1610905379331812E-10   0.006283185307179587     2.2670328125667154E-10   0.006283185307179587     2.3712067486497886E-10   0.006283185307179587     2.475048774381639E-10    0.006283185307179587     2.579419048225663E-10    0.006283185307179587     2.6819033223675056E-10   0.006283185307179587     2.785763932088699E-10    0.006283185307179587     2.890363344367682E-10    0.006283185307179587     2.9961610449690215E-10   0.006283185307179587     3.099117059671944E-10    0.006283185307179587     3.2044069717616726E-10   0.006283185307179587     3.310675907689884E-10    0.006283185307179587     3.4163700844046494E-10   0.006283185307179587     3.521402995965622E-10    0.006283185307179587     3.6237338414471587E-10   0.006283185307179587     3.7243835039359807E-10   0.006283185307179587     3.8278849411056996E-10   0.006283185307179587     3.930745214207962E-10    0.006283185307179587     4.030608234465421E-10    0.006283185307179587     4.131142553687364E-10    0.006283185307179587     4.231516266571702E-10    0.006283185307179587     4.3344440751144373E-10   0.006283185307179587     4.437317871755841E-10    0.006283185307179587     4.5383283725701905E-10   0.006283185307179587
0.012566370614359173      1.0950140778042921E-11   0.012566370614359173     2.065417667939376E-11    0.012566370614359173     3.3562613472302185E-11   0.012566370614359173     4.5360716625835874E-11   0.012566370614359173     5.538254333825596E-11    0.012566370614359173     6.587575126384136E-11    0.012566370614359173     7.374225436676995E-11    0.012566370614359173     8.166384941308326E-11    0.012566370614359173     8.89789288198231E-11     0.012566370614359173     9.603658166160856E-11    0.012566370614359173     1.0291262500184038E-10   0.012566370614359173     1.099340399486864E-10    0.012566370614359173     1.1711598674315033E-10   0.012566370614359173     1.2458976259837055E-10   0.012566370614359173     1.3216791095956918E-10   0.012566370614359173     1.3975801116219162E-10   0.012566370614359173     1.4754180651368866E-10   0.012566370614359173     1.553674568362766E-10    0.012566370614359173     1.6304757632616948E-10   0.012566370614359173     1.7059983855384703E-10   0.012566370614359173     1.7811464454117685E-10   0.012566370614359173     1.8565591158130067E-10   0.012566370614359173     1.930446918020154E-10    0.012566370614359173     2.0051371413060996E-10   0.012566370614359173     2.0801070148689536E-10   0.012566370614359173     2.1557742062060666E-10   0.012566370614359173     2.2294028097900247E-10   0.012566370614359173     2.3045168088870745E-10   0.012566370614359173     2.3803526439758994E-10   0.012566370614359173     2.455686649598698E-10    0.012566370614359173     2.5307358526081096E-10   0.012566370614359173     2.603903184713186E-10    0.012566370614359173     2.67594222026029E-10     0.012566370614359173     2.750163144435443E-10    0.012566370614359173     2.824142136808093E-10    0.012566370614359173     2.8961325479074116E-10   0.012566370614359173     2.968696029712161E-10    0.012566370614359173     3.041281811135585E-10    0.012566370614359173     3.1158101365057503E-10   0.012566370614359173     3.190291606786722E-10    0.012566370614359173     3.263440509987546E-10    0.012566370614359173
0.01884955592153876       6.390356213609308E-12    0.01884955592153876      1.1429881416813477E-11   0.01884955592153876      1.8553642989527224E-11   0.01884955592153876      2.513702728458437E-11    0.01884955592153876      3.0791475719431804E-11   0.01884955592153876      3.6768241517123474E-11   0.01884955592153876      4.1294884501859585E-11   0.01884955592153876      4.5858204487542555E-11   0.01884955592153876      5.009801111172036E-11    0.01884955592153876      5.417638833240255E-11    0.01884955592153876      5.8128274081120946E-11   0.01884955592153876      6.214030513286506E-11    0.01884955592153876      6.619570659765124E-11    0.01884955592153876      7.03846467094628E-11     0.01884955592153876      7.4596812324788E-11      0.01884955592153876      7.879547115013066E-11    0.01884955592153876      8.308520593392444E-11    0.01884955592153876      8.7384773270024E-11      0.01884955592153876      9.160528906339491E-11    0.01884955592153876      9.575850617981374E-11    0.01884955592153876      9.990880395875859E-11    0.01884955592153876      1.0409246470272858E-10   0.01884955592153876      1.0821621551552363E-10   0.01884955592153876      1.1241269208818378E-10   0.01884955592153876      1.166605480383125E-10    0.01884955592153876      1.2097249159764414E-10   0.01884955592153876      1.2517409550662332E-10   0.01884955592153876      1.2948568290532502E-10   0.01884955592153876      1.3383681148897415E-10   0.01884955592153876      1.3817041694039567E-10   0.01884955592153876      1.42464539700086E-10     0.01884955592153876      1.466417537744789E-10    0.01884955592153876      1.5074168931100624E-10   0.01884955592153876      1.5494377474732414E-10   0.01884955592153876      1.5910114849855405E-10   0.01884955592153876      1.6312204179995503E-10   0.01884955592153876      1.671586930412979E-10    0.01884955592153876      1.711774705921013E-10    0.01884955592153876      1.7528955019761976E-10   0.01884955592153876      1.7939819269762992E-10   0.01884955592153876      1.8343086478714726E-10   0.01884955592153876
0.025132741228718346      1.469961508469692E-12    0.025132741228718346     2.6964738502926276E-12   0.025132741228718346     4.2938380705203076E-12   0.025132741228718346     5.733060620091896E-12    0.025132741228718346     6.929352909695624E-12    0.025132741228718346     8.143236967003264E-12    0.025132741228718346     9.016700920579184E-12    0.025132741228718346     9.873783479149011E-12    0.025132741228718346     1.0640348677503318E-11   0.025132741228718346     1.1382412875358909E-11   0.025132741228718346     1.2116581758250022E-11   0.025132741228718346     1.2887021561496466E-11   0.025132741228718346     1.3713271935717062E-11   0.025132741228718346     1.4602542655242033E-11   0.025132741228718346     1.5537423043696637E-11   0.025132741228718346     1.6497582211553905E-11   0.025132741228718346     1.750032693980175E-11    0.025132741228718346     1.852643244313224E-11    0.025132741228718346     1.9536716786864662E-11   0.025132741228718346     2.0530162234236465E-11   0.025132741228718346     2.1510030307087125E-11   0.025132741228718346     2.2474484539725444E-11   0.025132741228718346     2.3401604264617488E-11   0.025132741228718346     2.4314970562137272E-11   0.025132741228718346     2.5202729807597663E-11   0.025132741228718346     2.6073607019632006E-11   0.025132741228718346     2.6908149582447103E-11   0.025132741228718346     2.7737887547491804E-11   0.025132741228718346     2.8567670611545306E-11   0.025132741228718346     2.9384673369816525E-11   0.025132741228718346     3.0203485534013404E-11   0.025132741228718346     3.101171633855562E-11    0.025132741228718346     3.181556338637214E-11    0.025132741228718346     3.266696775772821E-11    0.025132741228718346     3.353695405728388E-11    0.025132741228718346     3.440726815359985E-11    0.025132741228718346     3.530245238928056E-11    0.025132741228718346     3.6219720768219675E-11   0.025132741228718346     3.717425425824032E-11    0.025132741228718346     3.813613198870203E-11    0.025132741228718346     3.908762599443002E-11    0.025132741228718346
0.031415926535897934      2.523598058311092E-12    0.03141592653589793      5.572085027868918E-12    0.03141592653589793      9.021158851706403E-12    0.03141592653589793      1.2087916467763551E-11   0.03141592653589793      1.4629852036434757E-11   0.03141592653589793      1.7234327692092466E-11   0.03141592653589793      1.9128558901625498E-11   0.03141592653589793      2.102807428536458E-11    0.03141592653589793      2.2770055296492533E-11   0.03141592653589793      2.447098056118091E-11    0.03141592653589793      2.615340901527471E-11    0.03141592653589793      2.791111646630029E-11    0.03141592653589793      2.9752779132878793E-11   0.03141592653589793      3.1707322364857295E-11   0.03141592653589793      3.3721454100866546E-11   0.03141592653589793      3.576270471899524E-11    0.03141592653589793      3.786974023047122E-11    0.03141592653589793      3.999495146630146E-11    0.03141592653589793      4.207824300992719E-11    0.03141592653589793      4.411192701867765E-11    0.03141592653589793      4.6116518127285736E-11   0.03141592653589793      4.810121391518814E-11    0.03141592653589793      5.0018188741659895E-11   0.03141592653589793      5.1926606393791325E-11   0.03141592653589793      5.381224467094185E-11    0.03141592653589793      5.5691416029580386E-11   0.03141592653589793      5.750251330623479E-11    0.03141592653589793      5.93384174911871E-11     0.03141592653589793      6.118971867316571E-11    0.03141592653589793      6.303357037864388E-11    0.03141592653589793      6.487994832935275E-11    0.03141592653589793      6.670055804395466E-11    0.03141592653589793      6.851341547342698E-11    0.03141592653589793      7.041056052338868E-11    0.03141592653589793      7.23266976422636E-11     0.03141592653589793      7.42183031792197E-11     0.03141592653589793      7.614628315780123E-11    0.03141592653589793      7.80900599539826E-11     0.03141592653589793      8.009514436706707E-11    0.03141592653589793      8.210080900969466E-11    0.03141592653589793      8.406990581632387E-11    0.03141592653589793
0.03769911184307752       5.282723321833029E-12    0.037699111843077525     9.723919815186832E-12    0.037699111843077525     1.5920369282443445E-11   0.037699111843077525     2.166458758109378E-11    0.037699111843077525     2.6618650447479958E-11   0.037699111843077525     3.1871451664145705E-11   0.037699111843077525     3.5889799106584036E-11   0.037699111843077525     3.996292689251465E-11    0.037699111843077525     4.374515665908607E-11    0.037699111843077525     4.737203689095644E-11    0.037699111843077525     5.087062571105833E-11    0.037699111843077525     5.439106678643827E-11    0.037699111843077525     5.792515373689702E-11    0.037699111843077525     6.154819779285774E-11    0.037699111843077525     6.516877591364436E-11    0.037699111843077525     6.875631281663542E-11    0.037699111843077525     7.241041360835334E-11    0.037699111843077525     7.60668659526871E-11     0.037699111843077525     7.965794953793392E-11    0.037699111843077525     8.320223958817842E-11    0.037699111843077525     8.675688971212089E-11    0.037699111843077525     9.036510659380692E-11    0.037699111843077525     9.394085790726106E-11    0.037699111843077525     9.760290262948765E-11    0.037699111843077525     1.0132790612010772E-10   0.037699111843077525     1.0512817088667609E-10   0.037699111843077525     1.0885307826977105E-10   0.037699111843077525     1.1267478214730086E-10   0.037699111843077525     1.1654144423325333E-10   0.037699111843077525     1.2037859752147584E-10   0.037699111843077525     1.2418785630659394E-10   0.037699111843077525     1.2787430417550335E-10   0.037699111843077525     1.3147603707452274E-10   0.037699111843077525     1.3514181367514067E-10   0.037699111843077525     1.387566273477046E-10    0.037699111843077525     1.4223126530464486E-10   0.037699111843077525     1.4570147210270194E-10   0.037699111843077525     1.4914259524908625E-10   0.037699111843077525     1.5265908100313687E-10   0.037699111843077525     1.5616745451472446E-10   0.037699111843077525     1.5960953623076307E-10   0.037699111843077525
0.0439822971502571        5.848956695507037E-12    0.0439822971502571       1.1625230850403536E-11   0.0439822971502571       1.886691504066948E-11    0.0439822971502571       2.539477434622397E-11    0.0439822971502571       3.087520233054878E-11    0.0439822971502571       3.654999485642457E-11    0.0439822971502571       4.0728809288788005E-11   0.0439822971502571       4.490473890652601E-11    0.0439822971502571       4.874831388618447E-11    0.0439822971502571       5.247219623532092E-11    0.0439822971502571       5.612685063607107E-11    0.0439822971502571       5.991249224349382E-11    0.0439822971502571       6.38327473668122E-11     0.0439822971502571       6.7963373399048E-11      0.0439822971502571       7.219542099113143E-11    0.0439822971502571       7.647263448685358E-11    0.0439822971502571       8.0881688484047E-11      0.0439822971502571       8.532675005018413E-11    0.0439822971502571       8.969098409548866E-11    0.0439822971502571       9.396889346608902E-11    0.0439822971502571       9.820416599902223E-11    0.0439822971502571       1.0241920804894773E-10   0.0439822971502571       1.0651483358081717E-10   0.0439822971502571       1.10615168456357E-10     0.0439822971502571       1.1469612731510684E-10   0.0439822971502571       1.1878083535568505E-10   0.0439822971502571       1.2271944381888775E-10   0.0439822971502571       1.2672872824236635E-10   0.0439822971502571       1.3076285039830248E-10   0.0439822971502571       1.3477877756930756E-10   0.0439822971502571       1.387815339632521E-10    0.0439822971502571       1.427051994156549E-10    0.0439822971502571       1.465974067247119E-10    0.0439822971502571       1.5064470279100066E-10   0.0439822971502571       1.5471021365668942E-10   0.0439822971502571       1.5869964385129932E-10   0.0439822971502571       1.6275394591207915E-10   0.0439822971502571       1.6683281707661042E-10   0.0439822971502571       1.7103542682198912E-10   0.0439822971502571       1.7524434515622704E-10   0.0439822971502571       1.7938119239247962E-10   0.0439822971502571
0.05026548245743669       5.250352057348846E-12    0.05026548245743669      8.798470309924334E-12    0.05026548245743669      1.4288605016000162E-11   0.05026548245743669      1.9461145213408826E-11   0.05026548245743669      2.3967409347511348E-11   0.05026548245743669      2.8791055995963362E-11   0.05026548245743669      3.2514694871923595E-11   0.05026548245743669      3.6307119833276655E-11   0.05026548245743669      3.983537643454366E-11    0.05026548245743669      4.3218760923491166E-11   0.05026548245743669      4.647373647440832E-11    0.05026548245743669      4.9726590200390405E-11   0.05026548245743669      5.2975589454198516E-11   0.05026548245743669      5.628296380809134E-11    0.05026548245743669      5.956728572901861E-11    0.05026548245743669      6.28010024919364E-11     0.05026548245743669      6.608010853071463E-11    0.05026548245743669      6.935396880582799E-11    0.05026548245743669      7.256192997922152E-11    0.05026548245743669      7.57282486721508E-11     0.05026548245743669      7.891204950765428E-11    0.05026548245743669      8.21535520886014E-11     0.05026548245743669      8.538177190920097E-11    0.05026548245743669      8.870632335782785E-11    0.05026548245743669      9.21028431865032E-11     0.05026548245743669      9.55839044468614E-11     0.05026548245743669      9.901681475478806E-11    0.05026548245743669      1.0254397612500644E-10   0.05026548245743669      1.0611968159589594E-10   0.05026548245743669      1.0967326691609871E-10   0.05026548245743669      1.1319415670872275E-10   0.05026548245743669      1.166045711032494E-10    0.05026548245743669      1.199226940175363E-10    0.05026548245743669      1.2329153378978866E-10   0.05026548245743669      1.2659343715955827E-10   0.05026548245743669      1.2975802035364462E-10   0.05026548245743669      1.3290106978775924E-10   0.05026548245743669      1.3600728739798505E-10   0.05026548245743669      1.3916897433450836E-10   0.05026548245743669      1.4231624333344184E-10   0.05026548245743669      1.4540111173462573E-10   0.05026548245743669
0.05654866776461628       2.6255362470665445E-12   0.05654866776461628      5.157474737951958E-12    0.05654866776461628      8.271000342443857E-12    0.05654866776461628      1.1038629950540856E-11   0.05654866776461628      1.3316628261656422E-11   0.05654866776461628      1.562261402010787E-11    0.05654866776461628      1.7257562794480707E-11   0.05654866776461628      1.8833610619065842E-11   0.05654866776461628      2.0259624236020277E-11   0.05654866776461628      2.1636855695232405E-11   0.05654866776461628      2.300845029049264E-11    0.05654866776461628      2.4473430736804468E-11   0.05654866776461628      2.604293706787614E-11    0.05654866776461628      2.775010517835856E-11    0.05654866776461628      2.9550924600710323E-11   0.05654866776461628      3.141516547374394E-11    0.05654866776461628      3.3367829381433696E-11   0.05654866776461628      3.535806087539642E-11    0.05654866776461628      3.732084830856707E-11    0.05654866776461628      3.924600077894575E-11    0.05654866776461628      4.11369395478383E-11     0.05654866776461628      4.299144205881706E-11    0.05654866776461628      4.476458864273736E-11    0.05654866776461628      4.6499969463017394E-11   0.05654866776461628      4.8187410030178936E-11   0.05654866776461628      4.9837354258039306E-11   0.05654866776461628      5.139139960426507E-11    0.05654866776461628      5.295102662636296E-11    0.05654866776461628      5.450114166945722E-11    0.05654866776461628      5.6038145478984934E-11   0.05654866776461628      5.757245136588324E-11    0.05654866776461628      5.908674041995195E-11    0.05654866776461628      6.060988089338554E-11    0.05654866776461628      6.222828195880896E-11    0.05654866776461628      6.389055986495812E-11    0.05654866776461628      6.555715824516432E-11    0.05654866776461628      6.728438849222087E-11    0.05654866776461628      6.905474230201709E-11    0.05654866776461628      7.090115188927578E-11    0.05654866776461628      7.27670994571634E-11     0.05654866776461628      7.461014984210672E-11    0.05654866776461628
