% Model:              Numerators_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 12:11
% Dimension:          1
% Nodes:              1001
% Expressions:        40
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      2.612005077384624E-15    0.006283185307179587     2.506513979992505E-15    0.006283185307179587     2.407643067130585E-15    0.006283185307179587     2.315418243206623E-15    0.006283185307179587     2.22007984388081E-15     0.006283185307179587     2.139320521303661E-15    0.006283185307179587     2.0702892802965325E-15   0.006283185307179587     2.0204689906336226E-15   0.006283185307179587     1.9822155850160664E-15   0.006283185307179587     1.9656871753250694E-15   0.006283185307179587     1.971442596828569E-15    0.006283185307179587     2.018093983360296E-15    0.006283185307179587     2.078475934699984E-15    0.006283185307179587     2.146796527609072E-15    0.006283185307179587     2.2294509666217136E-15   0.006283185307179587     2.3114244567132647E-15   0.006283185307179587     2.406466039410867E-15    0.006283185307179587     2.502550246131357E-15    0.006283185307179587     2.617826197684382E-15    0.006283185307179587     2.729456459563603E-15    0.006283185307179587
0.012566370614359173      4.761969380762708E-15    0.012566370614359173     4.5699227744602695E-15   0.012566370614359173     4.389925155091622E-15    0.012566370614359173     4.222009485541885E-15    0.012566370614359173     4.048426333587285E-15    0.012566370614359173     3.901390835232062E-15    0.012566370614359173     3.77571452476589E-15     0.012566370614359173     3.685033938019344E-15    0.012566370614359173     3.615423240839751E-15    0.012566370614359173     3.585409645621444E-15    0.012566370614359173     3.5960083701972E-15      0.012566370614359173     3.6811356246727565E-15   0.012566370614359173     3.791267402636516E-15    0.012566370614359173     3.9158764038039534E-15   0.012566370614359173     4.0665528215325304E-15   0.012566370614359173     4.215983994532704E-15    0.012566370614359173     4.389171371979703E-15    0.012566370614359173     4.564219136776053E-15    0.012566370614359173     4.7742123322750286E-15   0.012566370614359173     4.977518637193493E-15    0.012566370614359173
0.01884955592153876       1.9788584407045106E-15   0.01884955592153876      1.899319696904447E-15    0.01884955592153876      1.8247635124912088E-15   0.01884955592153876      1.7551851592978541E-15   0.01884955592153876      1.6832675737554728E-15   0.01884955592153876      1.6223428929233806E-15   0.01884955592153876      1.570268809746444E-15    0.01884955592153876      1.5327027026062063E-15   0.01884955592153876      1.5038731888996329E-15   0.01884955592153876      1.4914856654172156E-15   0.01884955592153876      1.4959577871224286E-15   0.01884955592153876      1.5313590994048264E-15   0.01884955592153876      1.577114799403817E-15    0.01884955592153876      1.628889541429061E-15    0.01884955592153876      1.691414593897183E-15    0.01884955592153876      1.7534166595578273E-15   0.01884955592153876      1.8252026836490347E-15   0.01884955592153876      1.897713068690097E-15    0.01884955592153876      1.9846854578388457E-15   0.01884955592153876      2.0688324575088657E-15   0.01884955592153876
0.025132741228718346      5.985348744644966E-18    0.025132741228718346     5.694471890094637E-18    0.025132741228718346     5.418911850220429E-18    0.025132741228718346     5.160793331793863E-18    0.025132741228718346     4.894950000962333E-18    0.025132741228718346     4.6639413664358155E-18   0.025132741228718346     4.46204276898906E-18     0.025132741228718346     4.304411186975686E-18    0.025132741228718346     4.174586109944972E-18    0.025132741228718346     4.095307126279092E-18    0.025132741228718346     4.0657012986201935E-18   0.025132741228718346     4.126995988481661E-18    0.025132741228718346     4.218970683841854E-18    0.025132741228718346     4.328101021149855E-18    0.025132741228718346     4.468965027045799E-18    0.025132741228718346     4.6090892717932584E-18   0.025132741228718346     4.77903675961203E-18     0.025132741228718346     4.952843829187681E-18    0.025132741228718346     5.169092677001654E-18    0.025132741228718346     5.379064325166344E-18    0.025132741228718346
0.031415926535897934      1.321033600324871E-15    0.03141592653589793      1.267928637294174E-15    0.03141592653589793      1.2181724187124423E-15   0.03141592653589793      1.1717987493155632E-15   0.03141592653589793      1.123810565794082E-15    0.03141592653589793      1.0832086856881233E-15   0.03141592653589793      1.0485357789756168E-15   0.03141592653589793      1.0235884966470067E-15   0.03141592653589793      1.004479542668347E-15    0.03141592653589793      9.963664742844638E-16    0.03141592653589793      9.995244365730623E-16    0.03141592653589793      1.0233972519122704E-15   0.03141592653589793      1.0542309103424954E-15   0.03141592653589793      1.0890932652551688E-15   0.03141592653589793      1.131227227553849E-15    0.03141592653589793      1.173028159411021E-15    0.03141592653589793      1.221481686349935E-15    0.03141592653589793      1.2704679908182042E-15   0.03141592653589793      1.3292106560546558E-15   0.03141592653589793      1.386103467790454E-15    0.03141592653589793
0.03769911184307752       1.3575427421431206E-15   0.037699111843077525     1.3036484278663763E-15   0.037699111843077525     1.2531543729261912E-15   0.037699111843077525     1.2060802404067708E-15   0.037699111843077525     1.1573459155038702E-15   0.037699111843077525     1.1161420817765207E-15   0.037699111843077525     1.0809833868506967E-15   0.037699111843077525     1.0557681750287762E-15   0.037699111843077525     1.0365094368237824E-15   0.037699111843077525     1.028533044213884E-15    0.037699111843077525     1.0321140353714986E-15   0.037699111843077525     1.0569349788794281E-15   0.037699111843077525     1.0888583667858081E-15   0.037699111843077525     1.1249413734411817E-15   0.037699111843077525     1.168369126306774E-15    0.037699111843077525     1.2114539029370267E-15   0.037699111843077525     1.261258861238853E-15    0.037699111843077525     1.31152848958664E-15     0.037699111843077525     1.3717615820266045E-15   0.037699111843077525     1.4300062310385993E-15   0.037699111843077525
0.0439822971502571        7.681753241569639E-17    0.0439822971502571       7.395118139214158E-17    0.0439822971502571       7.126592999416015E-17    0.0439822971502571       6.876202911103912E-17    0.0439822971502571       6.616045648061987E-17    0.0439822971502571       6.396809944776775E-17    0.0439822971502571       6.210366891627767E-17    0.0439822971502571       6.078775299492064E-17    0.0439822971502571       5.979373505555163E-17    0.0439822971502571       5.943371709537407E-17    0.0439822971502571       5.971860548927957E-17    0.0439822971502571       6.118620008128226E-17    0.0439822971502571       6.303835821931172E-17    0.0439822971502571       6.513382721628503E-17    0.0439822971502571       6.759785413346549E-17    0.0439822971502571       7.004553805387512E-17    0.0439822971502571       7.283596151424857E-17    0.0439822971502571       7.562518401656727E-17    0.0439822971502571       7.896012862128809E-17    0.0439822971502571       8.215256977903E-17       0.0439822971502571
0.05026548245743669       5.182013288986797E-16    0.05026548245743669      4.966295291895309E-16    0.05026548245743669      4.764075907277948E-16    0.05026548245743669      4.575320679714872E-16    0.05026548245743669      4.3805904565975725E-16   0.05026548245743669      4.21525135197144E-16     0.05026548245743669      4.0735424662873496E-16   0.05026548245743669      3.970299853526856E-16    0.05026548245743669      3.89037490280978E-16     0.05026548245743669      3.8536803918750526E-16   0.05026548245743669      3.861356943331224E-16    0.05026548245743669      3.9503496149192345E-16   0.05026548245743669      4.066923285738209E-16    0.05026548245743669      4.1989670169017318E-16   0.05026548245743669      4.36031701545164E-16     0.05026548245743669      4.520305168532347E-16    0.05026548245743669      4.706732050966449E-16    0.05026548245743669      4.895863850718099E-16    0.05026548245743669      5.123245714655348E-16    0.05026548245743669      5.344083554560486E-16    0.05026548245743669
0.05654866776461628       1.0332510455787032E-15   0.05654866776461628      9.912843836537487E-16    0.05654866776461628      9.519446715635884E-16    0.05654866776461628      9.152103903819428E-16    0.05654866776461628      8.772729767003219E-16    0.05654866776461628      8.451112805715692E-16    0.05654866776461628      8.175909585177058E-16    0.05654866776461628      7.976659437158382E-16    0.05654866776461628      7.823271324973063E-16    0.05654866776461628      7.755848504353014E-16    0.05654866776461628      7.776545519652843E-16    0.05654866776461628      7.958784737694272E-16    0.05654866776461628      8.195337599927365E-16    0.05654866776461628      8.463050017674295E-16    0.05654866776461628      8.78746541032669E-16     0.05654866776461628      9.109185020128866E-16    0.05654866776461628      9.48208108946195E-16     0.05654866776461628      9.859230876609695E-16    0.05654866776461628      1.0311815411756268E-15   0.05654866776461628      1.0750156048992882E-15   0.05654866776461628
