% Model:              Numerators_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 22:44
% Dimension:          1
% Nodes:              1001
% Expressions:        38
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      2.6534623959379264E-16   0.006283185307179587     4.386995597850037E-16    0.006283185307179587     7.748234192205817E-16    0.006283185307179587     1.3493213444457027E-15   0.006283185307179587     2.179438491150082E-15    0.006283185307179587     3.201085015294765E-15    0.006283185307179587     4.287358327496506E-15    0.006283185307179587     5.300446963576072E-15    0.006283185307179587     6.150120230829799E-15    0.006283185307179587     6.84105921192336E-15     0.006283185307179587     7.474004334354691E-15    0.006283185307179587     8.22962927632864E-15     0.006283185307179587     9.294887822853675E-15    0.006283185307179587     1.0801427345385552E-14   0.006283185307179587     1.2769947224907345E-14   0.006283185307179587     1.5094311793382986E-14   0.006283185307179587     1.7578797657314356E-14   0.006283185307179587     1.9974720540673565E-14   0.006283185307179587     2.2078907806417112E-14   0.006283185307179587
0.012566370614359173      4.838560771101911E-16    0.012566370614359173     7.992400110304412E-16    0.012566370614359173     1.4105300440057533E-15   0.012566370614359173     2.4557077528925264E-15   0.012566370614359173     3.966632567921795E-15    0.012566370614359173     5.826930203962096E-15    0.012566370614359173     7.805639436805517E-15    0.012566370614359173     9.651807303372041E-15    0.012566370614359173     1.1200924496698833E-14   0.012566370614359173     1.2460948270653566E-14   0.012566370614359173     1.3614463992377123E-14   0.012566370614359173     1.4989740842436662E-14   0.012566370614359173     1.6927084994200343E-14   0.012566370614359173     1.9666850351349003E-14   0.012566370614359173     2.3248023363710027E-14   0.012566370614359173     2.747886001310127E-14    0.012566370614359173     3.200398943052375E-14    0.012566370614359173     3.637035510194428E-14    0.012566370614359173     4.0206518065950326E-14   0.012566370614359173
0.01884955592153876       2.0105942150895554E-16   0.01884955592153876      3.3122026382177277E-16   0.01884955592153876      5.832979601626973E-16    0.01884955592153876      1.0148215157047708E-15   0.01884955592153876      1.6395250376288446E-15   0.01884955592153876      2.4095497507402966E-15   0.01884955592153876      3.229349199465442E-15    0.01884955592153876      3.9950697222432645E-15   0.01884955592153876      4.638510537232955E-15    0.01884955592153876      5.162374164948825E-15    0.01884955592153876      5.641142653537099E-15    0.01884955592153876      6.209661130130891E-15    0.01884955592153876      7.008522429694733E-15    0.01884955592153876      8.137982663277465E-15    0.01884955592153876      9.615900912542778E-15    0.01884955592153876      1.1365019918532465E-14   0.01884955592153876      1.3239675605805376E-14   0.01884955592153876      1.5051926977898553E-14   0.01884955592153876      1.6645772345421037E-14   0.01884955592153876
0.025132741228718346      5.229025771907741E-19    0.025132741228718346     8.920857357207004E-19    0.025132741228718346     1.6616436655625122E-18   0.025132741228718346     2.9868341260466376E-18   0.025132741228718346     4.891102905165636E-18    0.025132741228718346     7.220662973947291E-18    0.025132741228718346     9.654887586417896E-18    0.025132741228718346     1.1814206312099357E-17   0.025132741228718346     1.345695763349432E-17    0.025132741228718346     1.4654920835721015E-17   0.025132741228718346     1.5778130647442993E-17   0.025132741228718346     1.737006432910017E-17    0.025132741228718346     1.9902920761458674E-17   0.025132741228718346     2.361046947948014E-17    0.025132741228718346     2.836539697434496E-17    0.025132741228718346     3.371592897417487E-17    0.025132741228718346     3.910842065654715E-17    0.025132741228718346     4.407193902267622E-17    0.025132741228718346     4.836327521260189E-17    0.025132741228718346
0.031415926535897934      1.3477594800401727E-16   0.03141592653589793      2.2310760702108947E-16   0.03141592653589793      3.941531270427466E-16    0.03141592653589793      6.859760561125539E-16    0.03141592653589793      1.1072838593160353E-15   0.03141592653589793      1.6260993977139719E-15   0.03141592653589793      2.1784775165866445E-15   0.03141592653589793      2.693850985562903E-15    0.03141592653589793      3.125096583043038E-15    0.03141592653589793      3.4741253367896922E-15   0.03141592653589793      3.793240946818141E-15    0.03141592653589793      4.17612818920179E-15     0.03141592653589793      4.7189967734888195E-15   0.03141592653589793      5.488482827337224E-15    0.03141592653589793      6.493108240819129E-15    0.03141592653589793      7.675826054045524E-15    0.03141592653589793      8.935070827430469E-15    0.03141592653589793      1.0145861525819007E-14   0.03141592653589793      1.1209539305762329E-14   0.03141592653589793
0.03769911184307752       1.389809016525307E-16    0.037699111843077525     2.287343027361038E-16    0.037699111843077525     4.019888594951725E-16    0.037699111843077525     6.980606844058052E-16    0.037699111843077525     1.126718341511875E-15    0.037699111843077525     1.656302597813123E-15    0.037699111843077525     2.222091613577789E-15    0.037699111843077525     2.751706676573654E-15    0.037699111843077525     3.1958098852012627E-15   0.037699111843077525     3.554830683412506E-15    0.037699111843077525     3.8810532005424275E-15   0.037699111843077525     4.269840220331913E-15    0.037699111843077525     4.820030862990585E-15    0.037699111843077525     5.600935284052425E-15    0.037699111843077525     6.622788069586143E-15    0.037699111843077525     7.828547664012821E-15    0.037699111843077525     9.115148037906831E-15    0.037699111843077525     1.0355097423851263E-14   0.037699111843077525     1.144727721535192E-14    0.037699111843077525
0.0439822971502571        7.96422923487096E-18     0.0439822971502571       1.2708809907259872E-17   0.0439822971502571       2.1749971886971634E-17   0.0439822971502571       3.734101414975829E-17    0.0439822971502571       6.025491817661013E-17    0.0439822971502571       8.91291650324627E-17     0.0439822971502571       1.2068752860401088E-16   0.0439822971502571       1.5078966678588965E-16   0.0439822971502571       1.7611198029102521E-16   0.0439822971502571       1.9606115350581266E-16   0.0439822971502571       2.1331076278389311E-16   0.0439822971502571       2.3336147252114896E-16   0.0439822971502571       2.6212850662875944E-16   0.0439822971502571       3.0387155890852886E-16   0.0439822971502571       3.5936255401411987E-16   0.0439822971502571       4.2529638063557847E-16   0.0439822971502571       4.956976432963374E-16    0.0439822971502571       5.636248089295791E-16    0.0439822971502571       6.240896595750276E-16    0.0439822971502571
0.05026548245743669       5.1985537549531125E-17   0.05026548245743669      8.676376146793048E-17    0.05026548245743669      1.5470890034537559E-16   0.05026548245743669      2.70794717040857E-16     0.05026548245743669      4.378157534247802E-16    0.05026548245743669      6.418391609168685E-16    0.05026548245743669      8.568358272273124E-16    0.05026548245743669      1.0560480574479102E-15   0.05026548245743669      1.2232989296741322E-15   0.05026548245743669      1.3608861275641691E-15   0.05026548245743669      1.4888297997726712E-15   0.05026548245743669      1.6420067774408948E-15   0.05026548245743669      1.8564174843177205E-15   0.05026548245743669      2.157627292536569E-15    0.05026548245743669      2.5501260417478564E-15   0.05026548245743669      3.0141024044711486E-15   0.05026548245743669      3.511482057229129E-15    0.05026548245743669      3.991479463471233E-15    0.05026548245743669      4.410612507649656E-15    0.05026548245743669
0.05654866776461628       1.0448888443411403E-16   0.05654866776461628      1.7253821914174405E-16   0.05654866776461628      3.0462979769819215E-16   0.05654866776461628      5.308794475331204E-16    0.05654866776461628      8.581144596398209E-16    0.05654866776461628      1.2603808454415598E-15   0.05654866776461628      1.6870968213249547E-15   0.05654866776461628      2.084791541302309E-15    0.05654866776461628      2.4197071361686727E-15   0.05654866776461628      2.6944253269173903E-15   0.05654866776461628      2.9472114666988882E-15   0.05654866776461628      3.246655890130544E-15    0.05654866776461628      3.664539721849422E-15    0.05654866776461628      4.252745532441794E-15    0.05654866776461628      5.0217756604668796E-15   0.05654866776461628      5.933852629189976E-15    0.05654866776461628      6.91492758722207E-15     0.05654866776461628      7.865786216601936E-15    0.05654866776461628      8.700912989087842E-15    0.05654866776461628
