% Model:              DipoleAxial_above2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 15 2025, 18:37
% Dimension:          1
% Nodes:              1001
% Expressions:        8
% Description:        Radiation pattern
% theta                   Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      0.16576783864538505      0.006283185307179587     0.2987430632850488       0.006283185307179587     0.4535130094254931       0.006283185307179587     0.5677745124955791       0.006283185307179587
0.012566370614359173      0.11920113715339464      0.012566370614359173     0.21482157060637477      0.012566370614359173     0.326110863335642        0.012566370614359173     0.4082816210023914       0.012566370614359173
0.01884955592153876       0.06699949373945391      0.01884955592153876      0.12074730581264352      0.01884955592153876      0.18330340988015706      0.01884955592153876      0.22948321748370526      0.01884955592153876
0.025132741228718346      0.01427457679376092      0.025132741228718346     0.025728054814535488     0.025132741228718346     0.039055873460501225     0.025132741228718346     0.04889948337020927      0.025132741228718346
0.031415926535897934      0.0307078799488748       0.03141592653589793      0.05533765762355042      0.03141592653589793      0.08400712617680607      0.03141592653589793      0.10517337307183783      0.03141592653589793
0.03769911184307752       0.05830162167690758      0.037699111843077525     0.10506915625584032      0.037699111843077525     0.15950234148205458      0.037699111843077525     0.1996890867757397       0.037699111843077525
0.0439822971502571        0.06551969151516672      0.0439822971502571       0.11807708620596064      0.0439822971502571       0.17924781487171196      0.0439822971502571       0.22441147221383187      0.0439822971502571
0.05026548245743669       0.05311010582266483      0.05026548245743669      0.09571652715872751      0.05026548245743669      0.14530528611601634      0.05026548245743669      0.18191328395287737      0.05026548245743669
0.05654866776461628       0.027248085267847114     0.05654866776461628      0.04910927229810903      0.05654866776461628      0.07454825093544926      0.05654866776461628      0.09333539830126643      0.05654866776461628
0.06283185307179587       0.006745751568970694     0.06283185307179587      0.012160394549564026     0.06283185307179587      0.01845873945484608      0.06283185307179587      0.023113554899141846     0.06283185307179587
0.06911503837897544       0.03156093877590749      0.06911503837897544      0.05687606785312594      0.06911503837897544      0.0863437008853837       0.06911503837897544      0.10809407889813864      0.06911503837897544
0.07539822368615504       0.0469624368343872       0.07539822368615504      0.08463258000862159      0.07539822368615504      0.12847836077700792      0.07539822368615504      0.16085046428610367      0.07539822368615504
0.08168140899333463       0.04710943869597547      0.08168140899333463      0.08490057477696783      0.08168140899333463      0.12888387517050034      0.08168140899333463      0.16135642653761967      0.08168140899333463
0.0879645943005142        0.03351939886256845      0.0879645943005142       0.06041209317015121      0.0879645943005142       0.09170878187350713      0.0879645943005142       0.11481645016549961      0.0879645943005142
0.09424777960769379       0.011919752324906682     0.09424777960769379      0.021491026331603883     0.09424777960769379      0.032624551832156484     0.09424777960769379      0.04084451974391647      0.09424777960769379
