% Model:              Numerators_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 12:08
% Dimension:          1
% Nodes:              1001
% Expressions:        40
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      2.616668086295722E-15    0.006283185307179587     2.721890188152755E-15    0.006283185307179587     2.8346259499830005E-15   0.006283185307179587     2.9378149594750563E-15   0.006283185307179587     3.048922942039628E-15    0.006283185307179587     3.1450574125886695E-15   0.006283185307179587     3.2349534338968814E-15   0.006283185307179587     3.317142735663465E-15    0.006283185307179587     3.3865289099428494E-15   0.006283185307179587     3.4365871756557436E-15   0.006283185307179587     3.475236626167535E-15    0.006283185307179587     3.4900222119978986E-15   0.006283185307179587     3.4996770549175236E-15   0.006283185307179587     3.495798851960044E-15    0.006283185307179587     3.4902214973142657E-15   0.006283185307179587     3.4801666753915453E-15   0.006283185307179587     3.4684634437851867E-15   0.006283185307179587     3.4579296540397238E-15   0.006283185307179587     3.454140518457893E-15    0.006283185307179587     3.452784633445871E-15    0.006283185307179587
0.012566370614359173      4.770458659838609E-15    0.012566370614359173     4.962025724148191E-15    0.012566370614359173     5.167249595330377E-15    0.012566370614359173     5.355084626623274E-15    0.012566370614359173     5.5573395535887994E-15   0.012566370614359173     5.732283985806831E-15    0.012566370614359173     5.895866191660654E-15    0.012566370614359173     6.04541205045876E-15     0.012566370614359173     6.171579553165963E-15    0.012566370614359173     6.2625673660633324E-15   0.012566370614359173     6.33273255851939E-15     0.012566370614359173     6.359379845392633E-15    0.012566370614359173     6.3766902696664245E-15   0.012566370614359173     6.369303225847775E-15    0.012566370614359173     6.358883963864757E-15    0.012566370614359173     6.3402811035756205E-15   0.012566370614359173     6.3186728241277234E-15   0.012566370614359173     6.2991859475835996E-15   0.012566370614359173     6.292020186493374E-15    0.012566370614359173     6.289289019579741E-15    0.012566370614359173
0.01884955592153876       1.9823720173255394E-15   0.01884955592153876      2.0617250620126253E-15   0.01884955592153876      2.146703158319984E-15    0.01884955592153876      2.2244744880744185E-15   0.01884955592153876      2.3082186934772714E-15   0.01884955592153876      2.3805937333569014E-15   0.01884955592153876      2.448262089112242E-15    0.01884955592153876      2.5101102817422013E-15   0.01884955592153876      2.5621941471257537E-15   0.01884955592153876      2.599727801969158E-15    0.01884955592153876      2.628574462357954E-15    0.01884955592153876      2.639318762859549E-15    0.01884955592153876      2.6461974395979594E-15   0.01884955592153876      2.6427761842430992E-15   0.01884955592153876      2.6381710807540578E-15   0.01884955592153876      2.6301361290617238E-15   0.01884955592153876      2.6208460553659225E-15   0.01884955592153876      2.6124184043886086E-15   0.01884955592153876      2.6091374943777703E-15   0.01884955592153876      2.607693989391582E-15    0.01884955592153876
0.025132741228718346      5.9960220094947025E-18   0.025132741228718346     6.2861280266836764E-18   0.025132741228718346     6.59502811847442E-18     0.025132741228718346     6.87868034637075E-18     0.025132741228718346     7.180987278193794E-18    0.025132741228718346     7.44791229450232E-18     0.025132741228718346     7.699167675748238E-18    0.025132741228718346     7.928195569688786E-18    0.025132741228718346     8.12984699890237E-18     0.025132741228718346     8.279304599411246E-18    0.025132741228718346     8.404860998278167E-18    0.025132741228718346     8.47529382047982E-18     0.025132741228718346     8.531259888607238E-18    0.025132741228718346     8.556896357426804E-18    0.025132741228718346     8.571549468389574E-18    0.025132741228718346     8.578017739770312E-18    0.025132741228718346     8.579237890097949E-18    0.025132741228718346     8.585501067241147E-18    0.025132741228718346     8.60241458062294E-18     0.025132741228718346     8.628076995129175E-18    0.025132741228718346
0.031415926535897934      1.323390328657917E-15    0.03141592653589793      1.3763550659421254E-15   0.03141592653589793      1.43313079623594E-15     0.03141592653589793      1.4850637510416591E-15   0.03141592653589793      1.5409931298061051E-15   0.03141592653589793      1.5893896915482149E-15   0.03141592653589793      1.6346142561694456E-15   0.03141592653589793      1.6759509689316131E-15   0.03141592653589793      1.7108612537093941E-15   0.03141592653589793      1.7359609610890522E-15   0.03141592653589793      1.7553488056741943E-15   0.03141592653589793      1.76270196847034E-15     0.03141592653589793      1.7674948713552754E-15   0.03141592653589793      1.7654977069876532E-15   0.03141592653589793      1.7626270601347267E-15   0.03141592653589793      1.757533928838759E-15    0.03141592653589793      1.7516508107287176E-15   0.03141592653589793      1.7464166118359691E-15   0.03141592653589793      1.744596960784748E-15    0.03141592653589793      1.7440508420632616E-15   0.03141592653589793
0.03769911184307752       1.3599385001782077E-15   0.037699111843077525     1.413709460026339E-15    0.037699111843077525     1.471321445460897E-15    0.037699111843077525     1.5239831016119377E-15   0.037699111843077525     1.580711577803595E-15    0.037699111843077525     1.6297012121677148E-15   0.037699111843077525     1.6754464952668386E-15   0.037699111843077525     1.7172316246498688E-15   0.037699111843077525     1.7523679494560478E-15   0.037699111843077525     1.777521470548252E-15    0.037699111843077525     1.796793396016347E-15    0.037699111843077525     1.8036975974098168E-15   0.037699111843077525     1.8080269123496448E-15   0.037699111843077525     1.805361204883437E-15    0.037699111843077525     1.8019220874465558E-15   0.037699111843077525     1.7961820403192393E-15   0.037699111843077525     1.789661903081179E-15    0.037699111843077525     1.783818083305974E-15    0.037699111843077525     1.7815367953746343E-15   0.037699111843077525     1.7805882548033905E-15   0.037699111843077525
0.0439822971502571        7.694409640156655E-17    0.0439822971502571       7.981194725846821E-17    0.0439822971502571       8.287952588632488E-17    0.0439822971502571       8.567217730645415E-17    0.0439822971502571       8.868391695309701E-17    0.0439822971502571       9.126557472528775E-17    0.0439822971502571       9.366871895890802E-17    0.0439822971502571       9.58596600381798E-17     0.0439822971502571       9.766796135051688E-17    0.0439822971502571       9.893752868734E-17       0.0439822971502571       9.988407645947918E-17    0.0439822971502571       1.0013340730602316E-16   0.0439822971502571       1.0026364666324154E-16   0.0439822971502571       9.999826999419931E-17    0.0439822971502571       9.97254312115526E-17     0.0439822971502571       9.932398582514226E-17    0.0439822971502571       9.889576888115244E-17    0.0439822971502571       9.851758124622886E-17    0.0439822971502571       9.835741521695236E-17    0.0439822971502571       9.829265244282718E-17    0.0439822971502571
0.05026548245743669       5.19148716661424E-16     0.05026548245743669      5.406587411711511E-16    0.05026548245743669      5.637129234856852E-16    0.05026548245743669      5.848622436300192E-16    0.05026548245743669      6.076226344845955E-16    0.05026548245743669      6.273891909453162E-16    0.05026548245743669      6.459183966933856E-16    0.05026548245743669      6.628955107942015E-16    0.05026548245743669      6.773317457633715E-16    0.05026548245743669      6.87890133585618E-16     0.05026548245743669      6.961640079280009E-16    0.05026548245743669      6.996697238903265E-16    0.05026548245743669      7.021126512463261E-16    0.05026548245743669      7.018372218236045E-16    0.05026548245743669      7.011555372045112E-16    0.05026548245743669      6.995657000606533E-16    0.05026548245743669      6.975881515025732E-16    0.05026548245743669      6.958014039455564E-16    0.05026548245743669      6.953173631382552E-16    0.05026548245743669      6.952751909607449E-16    0.05026548245743669
0.05654866776461628       1.0351009882471751E-15   0.05654866776461628      1.0769687226157942E-15   0.05654866776461628      1.1217974272881239E-15   0.05654866776461628      1.1628603348306512E-15   0.05654866776461628      1.2070644542396563E-15   0.05654866776461628      1.2453067928305622E-15   0.05654866776461628      1.2810896076676783E-15   0.05654866776461628      1.3138207821988898E-15   0.05654866776461628      1.3414302831436014E-15   0.05654866776461628      1.3614268172283931E-15   0.05654866776461628      1.3768481319420393E-15   0.05654866776461628      1.3827699486072205E-15   0.05654866776461628      1.3866447516318887E-15   0.05654866776461628      1.3850881974044129E-15   0.05654866776461628      1.3828825054103738E-15   0.05654866776461628      1.3788453310137158E-15   0.05654866776461628      1.3740847346288334E-15   0.05654866776461628      1.369726764292044E-15    0.05654866776461628      1.3680340047266567E-15   0.05654866776461628      1.367256889864521E-15    0.05654866776461628
