% Model:              Numerators_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 12:59
% Dimension:          1
% Nodes:              1001
% Expressions:        20
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      2.1056922007056294E-14   0.006283185307179587     2.1480999339494015E-14   0.006283185307179587     2.191060899293032E-14    0.006283185307179587     2.2278550678593824E-14   0.006283185307179587     2.2674414609952184E-14   0.006283185307179587     2.3131273128424485E-14   0.006283185307179587     2.3606401224223496E-14   0.006283185307179587     2.4026358730930935E-14   0.006283185307179587     2.4556508851188063E-14   0.006283185307179587     2.5041340906863978E-14   0.006283185307179587
0.012566370614359173      3.839403804275252E-14    0.012566370614359173     3.9164495801670036E-14   0.012566370614359173     3.9945104749506226E-14   0.012566370614359173     4.061328701813942E-14    0.012566370614359173     4.13322913056212E-14     0.012566370614359173     4.216235118252306E-14    0.012566370614359173     4.3025709106613924E-14   0.012566370614359173     4.378850564358389E-14    0.012566370614359173     4.475215566412607E-14    0.012566370614359173     4.563305364357338E-14    0.012566370614359173
0.01884955592153876       1.5961445741523095E-14   0.01884955592153876      1.627885934151711E-14    0.01884955592153876      1.660055487556463E-14    0.01884955592153876      1.68755401149122E-14     0.01884955592153876      1.7171537825896447E-14   0.01884955592153876      1.7513490927665464E-14   0.01884955592153876      1.7869255555487497E-14   0.01884955592153876      1.8183236361119885E-14   0.01884955592153876      1.8580638202689703E-14   0.01884955592153876      1.8943436850162474E-14   0.01884955592153876
0.025132741228718346      4.809760348614464E-17    0.025132741228718346     4.949552272425324E-17    0.025132741228718346     5.086543622372441E-17    0.025132741228718346     5.209496668078234E-17    0.025132741228718346     5.3391604550229165E-17   0.025132741228718346     5.481826433784987E-17    0.025132741228718346     5.627804008817985E-17    0.025132741228718346     5.761172147198092E-17    0.025132741228718346     5.918346971462386E-17    0.025132741228718346     6.065433472380951E-17    0.025132741228718346
0.031415926535897934      1.0644446783393817E-14   0.03141592653589793      1.0857390541024704E-14   0.03141592653589793      1.107308112427808E-14    0.03141592653589793      1.1257528945888767E-14   0.03141592653589793      1.1456172897838948E-14   0.03141592653589793      1.1685787466934401E-14   0.03141592653589793      1.192471175371738E-14    0.03141592653589793      1.213590435559467E-14    0.03141592653589793      1.240274839343303E-14    0.03141592653589793      1.2647116239819753E-14   0.03141592653589793
0.03769911184307752       1.094646282621389E-14    0.037699111843077525     1.1159146346106103E-14   0.037699111843077525     1.1374783220970895E-14   0.037699111843077525     1.1558293305663691E-14   0.037699111843077525     1.1756282765410717E-14   0.037699111843077525     1.1985887070736365E-14   0.037699111843077525     1.2225086484019284E-14   0.037699111843077525     1.243595417688883E-14    0.037699111843077525     1.2703912963746751E-14   0.037699111843077525     1.2948759605602197E-14   0.037699111843077525
0.0439822971502571        6.220846462078612E-16    0.0439822971502571       6.325228884172776E-16    0.0439822971502571       6.431465515528391E-16    0.0439822971502571       6.519553402161822E-16    0.0439822971502571       6.615834600943018E-16    0.0439822971502571       6.729526374733072E-16    0.0439822971502571       6.849081743450883E-16    0.0439822971502571       6.953480771691313E-16    0.0439822971502571       7.090156903704712E-16    0.0439822971502571       7.214235913564378E-16    0.0439822971502571
0.05026548245743669       4.1755482449175105E-15   0.05026548245743669      4.26510978821717E-15     0.05026548245743669      4.355717139182914E-15    0.05026548245743669      4.434163264736301E-15    0.05026548245743669      4.5181928172806226E-15   0.05026548245743669      4.614427704167845E-15    0.05026548245743669      4.714308860095932E-15    0.05026548245743669      4.802988570459649E-15    0.05026548245743669      4.913689890765286E-15    0.05026548245743669      5.0151674306668275E-15   0.05026548245743669
0.05654866776461628       8.334359878269987E-15    0.05654866776461628      8.503522651110117E-15    0.05654866776461628      8.674917462977548E-15    0.05654866776461628      8.821993939076933E-15    0.05654866776461628      8.97998906147762E-15     0.05654866776461628      9.161992998693689E-15    0.05654866776461628      9.351226159843843E-15    0.05654866776461628      9.518396522500754E-15    0.05654866776461628      9.729135103312456E-15    0.05654866776461628      9.921586777280765E-15    0.05654866776461628
