% Model:              DipoleAxial_below.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 11 2025, 22:57
% Dimension:          1
% Nodes:              361
% Expressions:        22
% Description:        Radiation pattern
% theta                   Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.017453292519943295      2.105290739993549E-11    0.017453292519943295     5.985056014418988E-11    0.017453292519943295     1.0713583134848485E-10   0.017453292519943295     1.3572946661461918E-10   0.017453292519943295     1.5924629172662572E-10   0.017453292519943295     1.9796835692791673E-10   0.017453292519943295     2.535196361777251E-10    0.017453292519943295     3.0294964568609027E-10   0.017453292519943295     3.346089743345857E-10    0.017453292519943295     3.5601420528414203E-10   0.017453292519943295     3.8928863919213183E-10   0.017453292519943295
0.03490658503988659       4.148375725015986E-11    0.03490658503988659      1.1971034512360328E-10   0.03490658503988659      2.1576174236047228E-10   0.03490658503988659      2.732101175557827E-10    0.03490658503988659      3.202150426476111E-10    0.03490658503988659      3.980416539180676E-10    0.03490658503988659      5.095091597655362E-10    0.03490658503988659      6.085623645694525E-10    0.03490658503988659      6.731612706194735E-10    0.03490658503988659      7.168354001238142E-10    0.03490658503988659      7.824728743614714E-10    0.03490658503988659
0.05235987755982988       2.3146580696858558E-11   0.05235987755982988      6.940907944649469E-11    0.05235987755982988      1.2507773463781541E-10   0.05235987755982988      1.5946092741821407E-10   0.05235987755982988      1.869482881747596E-10    0.05235987755982988      2.3100671261510934E-10   0.05235987755982988      2.955292501925434E-10    0.05235987755982988      3.542849416489726E-10    0.05235987755982988      3.920248765692356E-10    0.05235987755982988      4.1682942674141534E-10   0.05235987755982988      4.551921478975138E-10    0.05235987755982988
0.06981317007977318       9.310346137586912E-12    0.06981317007977318      2.398265139135246E-11    0.06981317007977318      4.178446222411809E-11    0.06981317007977318      5.3008397708224724E-11   0.06981317007977318      6.218701578632686E-11    0.06981317007977318      7.738970674416204E-11    0.06981317007977318      9.964759857904919E-11    0.06981317007977318      1.1932480580493807E-10   0.06981317007977318      1.3065281160854446E-10   0.06981317007977318      1.38471742319794E-10     0.06981317007977318      1.5272240723970372E-10   0.06981317007977318
0.08726646259971647       2.619982975885333E-11    0.08726646259971647      7.483483310689696E-11    0.08726646259971647      1.35333340296947E-10     0.08726646259971647      1.7071819328283517E-10   0.08726646259971647      2.0002618740094518E-10   0.08726646259971647      2.4943154115400124E-10   0.08726646259971647      3.1924086385769485E-10   0.08726646259971647      3.8042059191038883E-10   0.08726646259971647      4.210790394008194E-10    0.08726646259971647      4.4902594250209284E-10   0.08726646259971647      4.896143490164687E-10    0.08726646259971647
0.10471975511965977       1.6879242553082374E-11   0.10471975511965977      5.2549983134728624E-11   0.10471975511965977      9.43444859138636E-11     0.10471975511965977      1.210783834765529E-10    0.10471975511965977      1.421838566351119E-10    0.10471975511965977      1.7471870742422488E-10   0.10471975511965977      2.232490224946843E-10    0.10471975511965977      2.686339710666714E-10    0.10471975511965977      2.9734953265375095E-10   0.10471975511965977      3.1554936480806047E-10   0.10471975511965977      3.44852744243775E-10     0.10471975511965977
0.12217304763960307       7.115855871905709E-12    0.12217304763960307      1.5349624804197687E-11   0.12217304763960307      2.6295598621920724E-11   0.12217304763960307      3.361856707684804E-11    0.12217304763960307      3.868571574953009E-11    0.12217304763960307      4.794358558533828E-11    0.12217304763960307      6.296708930769867E-11    0.12217304763960307      7.590869345328217E-11    0.12217304763960307      8.163093796307619E-11    0.12217304763960307      8.594080010363781E-11    0.12217304763960307      9.615740185887596E-11    0.12217304763960307
0.13962634015954636       2.0558806484508475E-11   0.13962634015954636      5.793950472282038E-11    0.13962634015954636      1.051958505956938E-10    0.13962634015954636      1.3197815546519792E-10   0.13962634015954636      1.545944771805346E-10    0.13962634015954636      1.93669524183615E-10     0.13962634015954636      2.478460681269035E-10    0.13962634015954636      2.9434016235887936E-10   0.13962634015954636      3.2602063904819396E-10   0.13962634015954636      3.484213972295943E-10    0.13962634015954636      3.794476506028707E-10    0.13962634015954636
0.15707963267948966       1.4984537278592202E-11   0.15707963267948966      4.804916093228797E-11    0.15707963267948966      8.571489133065769E-11    0.15707963267948966      1.1065264158004763E-10   0.15707963267948966      1.3032437856777E-10      0.15707963267948966      1.5944113901433448E-10   0.15707963267948966      2.0333497405657716E-10   0.15707963267948966      2.454433444177238E-10    0.15707963267948966      2.7182713198666017E-10   0.15707963267948966      2.878652441624401E-10    0.15707963267948966      3.1483992795958626E-10   0.15707963267948966
