% Model:              Numerators_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 22:40
% Dimension:          1
% Nodes:              1001
% Expressions:        38
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      2.6531772865697486E-16   0.006283185307179587     2.8157747208488004E-16   0.006283185307179587     3.29704967421237E-16     0.006283185307179587     4.0238649964831783E-16   0.006283185307179587     4.960216350294623E-16    0.006283185307179587     6.067245533830695E-16    0.006283185307179587     7.329306004551666E-16    0.006283185307179587     8.717859871432074E-16    0.006283185307179587     1.0228225734623106E-15   0.006283185307179587     1.1839720709332463E-15   0.006283185307179587     1.354403969800202E-15    0.006283185307179587     1.533553915202323E-15    0.006283185307179587     1.7191607092620636E-15   0.006283185307179587     1.9111134191295194E-15   0.006283185307179587     2.10847636933081E-15     0.006283185307179587     2.3117886368425526E-15   0.006283185307179587     2.5182912272758285E-15   0.006283185307179587     2.7285891565634156E-15   0.006283185307179587     2.9427826276773028E-15   0.006283185307179587
0.012566370614359173      4.832585637606545E-16    0.012566370614359173     5.126798485507218E-16    0.012566370614359173     6.001363553994107E-16    0.012566370614359173     7.3230320695925E-16      0.012566370614359173     9.026480488845218E-16    0.012566370614359173     1.1041194788606734E-15   0.012566370614359173     1.333876537061374E-15    0.012566370614359173     1.5867067555891954E-15   0.012566370614359173     1.8617288111604284E-15   0.012566370614359173     2.1551328038459693E-15   0.012566370614359173     2.4653759252282192E-15   0.012566370614359173     2.791418070405214E-15    0.012566370614359173     3.129148195125876E-15    0.012566370614359173     3.47839299444295E-15     0.012566370614359173     3.837486564063909E-15    0.012566370614359173     4.207454397049092E-15    0.012566370614359173     4.5832896802714214E-15   0.012566370614359173     4.966113265643108E-15    0.012566370614359173     5.356084949402137E-15    0.012566370614359173
0.01884955592153876       2.003456504888427E-16    0.01884955592153876      2.1228649118911035E-16   0.01884955592153876      2.482488067573226E-16    0.01884955592153876      3.027226024804657E-16    0.01884955592153876      3.730494043065131E-16    0.01884955592153876      4.56351817532216E-16     0.01884955592153876      5.514666382594671E-16    0.01884955592153876      6.56207067291475E-16     0.01884955592153876      7.701567863307544E-16    0.01884955592153876      8.91665830865749E-16     0.01884955592153876      1.0200430487173656E-15   0.01884955592153876      1.1548367122161849E-15   0.01884955592153876      1.2943573976905043E-15   0.01884955592153876      1.4385829920967795E-15   0.01884955592153876      1.586887329152363E-15    0.01884955592153876      1.739767904928823E-15    0.01884955592153876      1.8951810906615293E-15   0.01884955592153876      2.0536192855996946E-15   0.01884955592153876      2.2151112566931247E-15   0.01884955592153876
0.025132741228718346      6.652515967751616E-19    0.025132741228718346     7.305197677303846E-19    0.025132741228718346     8.867796240427734E-19    0.025132741228718346     1.1173866673910035E-18   0.025132741228718346     1.4075547293998786E-18   0.025132741228718346     1.738370712012375E-18    0.025132741228718346     2.0984662878287885E-18   0.025132741228718346     2.477439927181025E-18    0.025132741228718346     2.876969057356124E-18    0.025132741228718346     3.2996060105502507E-18   0.025132741228718346     3.7522645804188735E-18   0.025132741228718346     4.242290817767049E-18    0.025132741228718346     4.7680520107378156E-18   0.025132741228718346     5.328647611665056E-18    0.025132741228718346     5.915574082236756E-18    0.025132741228718346     6.52182586248089E-18     0.025132741228718346     7.13038385203337E-18     0.025132741228718346     7.735252852164894E-18    0.025132741228718346     8.334208467017066E-18    0.025132741228718346
0.031415926535897934      1.3402929494695422E-16   0.03141592653589793      1.4254652503525558E-16   0.03141592653589793      1.674091929298562E-16    0.03141592653589793      2.0478694355244998E-16   0.03141592653589793      2.5269045024318115E-16   0.03141592653589793      3.0900996908294153E-16   0.03141592653589793      3.7289900588216874E-16   0.03141592653589793      4.429726944437406E-16    0.03141592653589793      5.191385593679003E-16    0.03141592653589793      6.005342405395466E-16    0.03141592653589793      6.868960596439034E-16    0.03141592653589793      7.780169010384766E-16    0.03141592653589793      8.727217229682303E-16    0.03141592653589793      9.708296319357082E-16    0.03141592653589793      1.0716968486454184E-15   0.03141592653589793      1.1754064350067518E-15   0.03141592653589793      1.2804479264666318E-15   0.03141592653589793      1.3870611353862209E-15   0.03141592653589793      1.4953695902047715E-15   0.03141592653589793
0.03769911184307752       1.3680698791346742E-16   0.037699111843077525     1.4532579579187838E-16   0.037699111843077525     1.7064417741965085E-16   0.037699111843077525     2.0875809732684364E-16   0.037699111843077525     2.575875414221174E-16    0.037699111843077525     3.1495155173698143E-16   0.037699111843077525     3.799830493874585E-16    0.037699111843077525     4.512850314102743E-16    0.037699111843077525     5.28799232616685E-16     0.037699111843077525     6.116684113484183E-16    0.037699111843077525     6.996507856530442E-16    0.037699111843077525     7.925445991765992E-16    0.037699111843077525     8.891344415965353E-16    0.037699111843077525     9.892090769124729E-16    0.037699111843077525     1.0920820833749385E-15   0.037699111843077525     1.1978162914608387E-15   0.037699111843077525     1.3048447967289863E-15   0.037699111843077525     1.4134239026283982E-15   0.037699111843077525     1.5236880929231415E-15   0.037699111843077525
0.0439822971502571        7.55087736171164E-18     0.0439822971502571       8.072222402040837E-18    0.0439822971502571       9.583324862168006E-18    0.0439822971502571       1.1808523858706598E-17   0.0439822971502571       1.4591122150305663E-17   0.0439822971502571       1.7783947034304054E-17   0.0439822971502571       2.1340471069055E-17      0.0439822971502571       2.5209036284439278E-17   0.0439822971502571       2.942940433945182E-17    0.0439822971502571       3.399231338292246E-17    0.0439822971502571       3.891482830479498E-17    0.0439822971502571       4.4190434550296355E-17   0.0439822971502571       4.97309432247486E-17     0.0439822971502571       5.548611690022405E-17    0.0439822971502571       6.137533534440163E-17    0.0439822971502571       6.73669987265341E-17     0.0439822971502571       7.335284963327034E-17    0.0439822971502571       7.93513196059586E-17     0.0439822971502571       8.539538393263124E-17    0.0439822971502571
0.05026548245743669       5.344085268551511E-17    0.05026548245743669      5.66560095336397E-17     0.05026548245743669      6.601651532593336E-17    0.05026548245743669      8.020358521692083E-17    0.05026548245743669      9.864973363788026E-17    0.05026548245743669      1.2070542951066695E-16   0.05026548245743669      1.4611249533078983E-16   0.05026548245743669      1.7426067593373753E-16   0.05026548245743669      2.0493669458015973E-16   0.05026548245743669      2.3757867746138807E-16   0.05026548245743669      2.7188308598905776E-16   0.05026548245743669      3.0765695998636637E-16   0.05026548245743669      3.444640743872453E-16    0.05026548245743669      3.8237488811070663E-16   0.05026548245743669      4.213397419932311E-16    0.05026548245743669      4.616171828617438E-16    0.05026548245743669      5.027697800575146E-16    0.05026548245743669      5.449668656164039E-16    0.05026548245743669      5.881950757600012E-16    0.05026548245743669
0.05654866776461628       1.0503931949209763E-16   0.05654866776461628      1.1104104235061463E-16   0.05654866776461628      1.2935228313116986E-16   0.05654866776461628      1.5725102996802996E-16   0.05654866776461628      1.9353013418269949E-16   0.05654866776461628      2.3683557398507915E-16   0.05654866776461628      2.8661055626036365E-16   0.05654866776461628      3.416493918294418E-16    0.05654866776461628      4.0157638583686247E-16   0.05654866776461628      4.653396032964429E-16    0.05654866776461628      5.324154257522301E-16    0.05654866776461628      6.024849779820879E-16    0.05654866776461628      6.747001178819718E-16    0.05654866776461628      7.491775774985281E-16    0.05654866776461628      8.257731617423502E-16    0.05654866776461628      9.049312351900755E-16    0.05654866776461628      9.857215307372855E-16    0.05654866776461628      1.0684459361777944E-15   0.05654866776461628      1.153065790993037E-15    0.05654866776461628
