% Model:              DipoleAxial_above2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 15 2025, 09:19
% Dimension:          1
% Nodes:              361
% Expressions:        22
% Description:        Radiation pattern
% theta                   Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.017453292519943295      7.72539589072414E-10     0.017453292519943295     8.15452987442626E-10     0.017453292519943295     7.882038203457222E-10    0.017453292519943295     7.863944068345385E-10    0.017453292519943295     7.900432142988474E-10    0.017453292519943295     7.828112387239819E-10    0.017453292519943295     7.802682236828251E-10    0.017453292519943295     7.783454770927211E-10    0.017453292519943295     7.718514594592394E-10    0.017453292519943295     7.825101445537188E-10    0.017453292519943295     7.811362536666121E-10    0.017453292519943295
0.03490658503988659       1.5720263621878387E-9    0.03490658503988659      1.5864910272621304E-9    0.03490658503988659      1.5681309631263192E-9    0.03490658503988659      1.575875878131989E-9     0.03490658503988659      1.578458495337953E-9     0.03490658503988659      1.572504497870786E-9     0.03490658503988659      1.5707385477037638E-9    0.03490658503988659      1.5766526639606206E-9    0.03490658503988659      1.5678225311345295E-9    0.03490658503988659      1.5631595829558604E-9    0.03490658503988659      1.569229041827607E-9     0.03490658503988659
0.05235987755982988       2.3670195208090777E-9    0.05235987755982988      2.353241508760302E-9     0.05235987755982988      2.3630892882715187E-9    0.05235987755982988      2.359008159194964E-9     0.05235987755982988      2.358624541602331E-9     0.05235987755982988      2.365004442878829E-9     0.05235987755982988      2.3567372213663356E-9    0.05235987755982988      2.3610919842507214E-9    0.05235987755982988      2.36541632472696E-9      0.05235987755982988      2.365707491534174E-9     0.05235987755982988      2.3681921601834343E-9    0.05235987755982988
0.06981317007977318       3.147541558001077E-9     0.06981317007977318      3.1450012067308776E-9    0.06981317007977318      3.1478456383060864E-9    0.06981317007977318      3.1387466252108573E-9    0.06981317007977318      3.142170617302565E-9     0.06981317007977318      3.1479409410399065E-9    0.06981317007977318      3.1454702811998676E-9    0.06981317007977318      3.1471260871039797E-9    0.06981317007977318      3.149974512584907E-9     0.06981317007977318      3.1424255804658797E-9    0.06981317007977318      3.1467444858466986E-9    0.06981317007977318
0.08726646259971647       3.9329403796004435E-9    0.08726646259971647      3.9339302892049E-9       0.08726646259971647      3.9273373589687374E-9    0.08726646259971647      3.936226256736817E-9     0.08726646259971647      3.937363224367171E-9     0.08726646259971647      3.937354459981308E-9     0.08726646259971647      3.938751336687111E-9     0.08726646259971647      3.936346303833002E-9     0.08726646259971647      3.939663197699345E-9     0.08726646259971647      3.942230560361947E-9     0.08726646259971647      3.937910606397034E-9     0.08726646259971647
0.10471975511965977       4.723463787477762E-9     0.10471975511965977      4.7292666394611056E-9    0.10471975511965977      4.711179285745361E-9     0.10471975511965977      4.724724756318754E-9     0.10471975511965977      4.722744965913416E-9     0.10471975511965977      4.718854439569422E-9     0.10471975511965977      4.715046478485531E-9     0.10471975511965977      4.709957792952287E-9     0.10471975511965977      4.709405613069727E-9     0.10471975511965977      4.712275129410525E-9     0.10471975511965977      4.712847920789822E-9     0.10471975511965977
0.12217304763960307       5.495067600001467E-9     0.12217304763960307      5.498823924604386E-9     0.12217304763960307      5.500312920170566E-9     0.12217304763960307      5.486632981236345E-9     0.12217304763960307      5.495608500477927E-9     0.12217304763960307      5.497300268111419E-9     0.12217304763960307      5.491228197600193E-9     0.12217304763960307      5.504865150586432E-9     0.12217304763960307      5.504057481090405E-9     0.12217304763960307      5.498177228924334E-9     0.12217304763960307      5.504755410888144E-9     0.12217304763960307
0.13962634015954636       6.2758928325515125E-9    0.13962634015954636      6.282702667806522E-9     0.13962634015954636      6.278448604151079E-9     0.13962634015954636      6.275790500655659E-9     0.13962634015954636      6.274338935068108E-9     0.13962634015954636      6.276299110645239E-9     0.13962634015954636      6.268846488887678E-9     0.13962634015954636      6.2674768565110486E-9    0.13962634015954636      6.273189346286389E-9     0.13962634015954636      6.2721830724296445E-9    0.13962634015954636      6.273809434671374E-9     0.13962634015954636
0.15707963267948966       7.060441798928439E-9     0.15707963267948966      7.054146275904451E-9     0.15707963267948966      7.0486607982999025E-9    0.15707963267948966      7.05270036910874E-9      0.15707963267948966      7.052670892861133E-9     0.15707963267948966      7.056481692059703E-9     0.15707963267948966      7.059483302318828E-9     0.15707963267948966      7.056752837925285E-9     0.15707963267948966      7.057623511056597E-9     0.15707963267948966      7.056021293786355E-9     0.15707963267948966      7.0525298043335126E-9    0.15707963267948966
0.17453292519943295       7.831101829974647E-9     0.17453292519943295      7.834224130101554E-9     0.17453292519943295      7.826383908072892E-9     0.17453292519943295      7.830777435913268E-9     0.17453292519943295      7.833013302427607E-9     0.17453292519943295      7.825363837562744E-9     0.17453292519943295      7.822166702297682E-9     0.17453292519943295      7.82886212163412E-9      0.17453292519943295      7.827129929925217E-9     0.17453292519943295      7.823989756486244E-9     0.17453292519943295      7.831054763766687E-9     0.17453292519943295
