% Model:              DipoleAxial_above2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 15 2025, 23:30
% Dimension:          1
% Nodes:              1001
% Expressions:        80
% Description:        Radiation pattern
% theta                   Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      0.004090922081304209     0.006283185307179587     0.01748140216924175      0.006283185307179587     0.029750121756011685     0.006283185307179587     0.04089689344370889      0.006283185307179587     0.05073200606809321      0.006283185307179587     0.0591056008193816       0.006283185307179587     0.06726232278305443      0.006283185307179587     0.07398108374997663      0.006283185307179587     0.0808944562054157       0.006283185307179587     0.08770020779825147      0.006283185307179587     0.09443072151664506      0.006283185307179587     0.10113250406577162      0.006283185307179587     0.10798068982262836      0.006283185307179587     0.11483393149173028      0.006283185307179587     0.12169737358300052      0.006283185307179587     0.128374320237183        0.006283185307179587     0.13550662714977038      0.006283185307179587     0.1423188500019558       0.006283185307179587     0.14920915127363943      0.006283185307179587     0.15622844758017285      0.006283185307179587     0.16291952556066566      0.006283185307179587     0.1697647006990676       0.006283185307179587     0.17688274235000545      0.006283185307179587     0.1837383021850765       0.006283185307179587     0.19078021989620533      0.006283185307179587     0.19748883103441278      0.006283185307179587     0.20444154346492455      0.006283185307179587     0.21130182282817495      0.006283185307179587     0.2182552919381848       0.006283185307179587     0.2251996514041888       0.006283185307179587     0.23209905288896215      0.006283185307179587     0.23876943208268947      0.006283185307179587     0.2453640540310573       0.006283185307179587     0.25223771439856124      0.006283185307179587     0.2589385526401731       0.006283185307179587     0.26568353333289785      0.006283185307179587     0.27234791939620906      0.006283185307179587     0.27912369976619206      0.006283185307179587     0.2858103578396427       0.006283185307179587     0.29227897632491495      0.006283185307179587
0.012566370614359173      0.0029326470252262035    0.012566370614359173     0.012666429381225593     0.012566370614359173     0.021527394999530013     0.012566370614359173     0.02955077696746993      0.012566370614359173     0.03660820382130912      0.012566370614359173     0.04259531041558893      0.012566370614359173     0.048417842834512205     0.012566370614359173     0.05320529572514888      0.012566370614359173     0.0581241183214771       0.012566370614359173     0.0629715215082704       0.012566370614359173     0.06777573574069562      0.012566370614359173     0.07257054889409764      0.012566370614359173     0.07748644441141346      0.012566370614359173     0.08242103341486356      0.012566370614359173     0.08737696281879416      0.012566370614359173     0.0922085505887744       0.012566370614359173     0.09737594940733417      0.012566370614359173     0.10231696987421968      0.012566370614359173     0.10731426331445705      0.012566370614359173     0.1124026043893119       0.012566370614359173     0.11724533579151314      0.012566370614359173     0.12219082420548304      0.012566370614359173     0.12732110561482013      0.012566370614359173     0.1322458751756677       0.012566370614359173     0.13729818963586105      0.012566370614359173     0.14209884170410483      0.012566370614359173     0.14706700051206315      0.012566370614359173     0.1519616596437049       0.012566370614359173     0.15692297064746633      0.012566370614359173     0.1618774239970588       0.012566370614359173     0.16680341770602286      0.012566370614359173     0.1715705080919929       0.012566370614359173     0.17629306097566483      0.012566370614359173     0.1812241983581746       0.012566370614359173     0.18604174245201474      0.012566370614359173     0.19090611360427798      0.012566370614359173     0.1957134851031754       0.012566370614359173     0.20061512828228517      0.012566370614359173     0.20545424672038654      0.012566370614359173     0.21013880903824558      0.012566370614359173
0.01884955592153876       0.0018705662050317819    0.01884955592153876      0.006973259595828712     0.01884955592153876      0.011865291739014443     0.01884955592153876      0.016353103006855163     0.01884955592153876      0.02034487978720819      0.01884955592153876      0.023765658947814027     0.01884955592153876      0.027110382463892486     0.01884955592153876      0.029877280218306206     0.01884955592153876      0.03272608898301707      0.01884955592153876      0.03552469370512724      0.01884955592153876      0.0382830488982453       0.01884955592153876      0.04101668835412813      0.01884955592153876      0.04379499967004365      0.01884955592153876      0.04656090452192227      0.01884955592153876      0.04931738768374491      0.01884955592153876      0.051987888478194626     0.01884955592153876      0.05483375374399663      0.01884955592153876      0.05754705967443782      0.01884955592153876      0.06029147261668282      0.01884955592153876      0.06308973548350584      0.01884955592153876      0.06576342686688787      0.01884955592153876      0.06850742620327063      0.01884955592153876      0.0713733659880693       0.01884955592153876      0.07414630810117351      0.01884955592153876      0.07700331953274815      0.01884955592153876      0.0797355333789494       0.01884955592153876      0.08257625291949229      0.01884955592153876      0.08538450516496748      0.01884955592153876      0.08823214356432653      0.01884955592153876      0.0910770835951775       0.01884955592153876      0.09389959106346893      0.01884955592153876      0.0966238083727402       0.01884955592153876      0.09930836495415443      0.01884955592153876      0.10209795468286152      0.01884955592153876      0.10480840798731726      0.01884955592153876      0.10752280614113073      0.01884955592153876      0.11020041724875886      0.01884955592153876      0.11291242990448759      0.01884955592153876      0.1155858842441579       0.01884955592153876      0.1181671444523324       0.01884955592153876
0.025132741228718346      4.4019870567776074E-4    0.025132741228718346     0.0016561575016237656    0.025132741228718346     0.0027614008895578157    0.025132741228718346     0.003743333699041273     0.025132741228718346     0.0045832568650712195    0.025132741228718346     0.005269116055996508     0.025132741228718346     0.005917504626087518     0.025132741228718346     0.006431971413772211     0.025132741228718346     0.0069502460795364575    0.025132741228718346     0.007462546492050085     0.025132741228718346     0.007978768599926562     0.025132741228718346     0.008509690217959682     0.025132741228718346     0.009074166055407432     0.025132741228718346     0.00966156121722852      0.025132741228718346     0.010271102329794795     0.025132741228718346     0.010884013189966029     0.025132741228718346     0.011551680493672542     0.025132741228718346     0.012200139134086407     0.025132741228718346     0.012858515910722035     0.025132741228718346     0.01352727758811886      0.025132741228718346     0.014158366882421761     0.025132741228718346     0.014792499206713031     0.025132741228718346     0.015433931159316542     0.025132741228718346     0.016033615549719226     0.025132741228718346     0.016634312134877434     0.025132741228718346     0.017188948528377466     0.025132741228718346     0.01774878678331507      0.025132741228718346     0.018289591603238006     0.025132741228718346     0.018833866305393392     0.025132741228718346     0.01937135131978879      0.025132741228718346     0.019908718051332285     0.025132741228718346     0.020432813072363457     0.025132741228718346     0.02096120014145768      0.025132741228718346     0.02152802589252428      0.025132741228718346     0.022092498968640593     0.025132741228718346     0.022681235860821478     0.025132741228718346     0.023273396404509657     0.025132741228718346     0.02389312923834027      0.025132741228718346     0.024511782054164637     0.025132741228718346     0.025119926356357198     0.025132741228718346
0.031415926535897934      5.340158971294978E-4     0.03141592653589793      0.0034830031689650665    0.03141592653589793      0.0058396485677820196    0.03141592653589793      0.007912711542530818     0.03141592653589793      0.0096840177754939       0.03141592653589793      0.011153360465417284     0.03141592653589793      0.012562498458111828     0.03141592653589793      0.013699651770315792     0.03141592653589793      0.014874098538280445     0.03141592653589793      0.016044791738826458     0.03141592653589793      0.017223314311639485     0.03141592653589793      0.018426531961692656     0.03141592653589793      0.019686733565128758     0.03141592653589793      0.0209769733768561       0.03141592653589793      0.022293280688838672     0.03141592653589793      0.023595154148871898     0.03141592653589793      0.0249955831275988       0.03141592653589793      0.026339085977916437     0.03141592653589793      0.02769449005804943      0.03141592653589793      0.029064371757895505     0.03141592653589793      0.030357168999326306     0.03141592653589793      0.0316597553472482       0.03141592653589793      0.03298866242976436      0.03141592653589793      0.03424651712334171      0.03141592653589793      0.035517273588210115     0.03141592653589793      0.03671033681171248      0.03141592653589793      0.03793085282190942      0.03141592653589793      0.03912731445833116      0.03141592653589793      0.04033856674220572      0.03141592653589793      0.04155011697196249      0.03141592653589793      0.042764087034400565     0.03141592653589793      0.04394899544473867      0.03141592653589793      0.045138836870534674     0.03141592653589793      0.04639894421753499      0.03141592653589793      0.04764469592612288      0.03141592653589793      0.048922903745603076     0.03141592653589793      0.05019929627146858      0.03141592653589793      0.051511249326465426     0.03141592653589793      0.05281205779998452      0.03141592653589793      0.0540784450105716       0.03141592653589793
0.03769911184307752       0.0014540358400205564    0.037699111843077525     0.005932045907475744     0.037699111843077525     0.010178094244131429     0.037699111843077525     0.014086650157873463     0.037699111843077525     0.017584360104173392     0.037699111843077525     0.02060254003308221      0.037699111843077525     0.02356705451657968      0.037699111843077525     0.02603828296016713      0.037699111843077525     0.02857639699310459      0.037699111843077525     0.031063348539916373     0.037699111843077525     0.03350304088505439      0.037699111843077525     0.03590232460713065      0.037699111843077525     0.03832272561179761      0.037699111843077525     0.040714067833539896     0.037699111843077525     0.043083759719082564     0.037699111843077525     0.04536418676940657      0.037699111843077525     0.04778823513154057      0.037699111843077525     0.05009435004931413      0.037699111843077525     0.05242861067071         0.037699111843077525     0.05481896580681446      0.037699111843077525     0.057108598588527376     0.037699111843077525     0.05947265115836792      0.037699111843077525     0.06195826660868797      0.037699111843077525     0.06437473793916997      0.037699111843077525     0.06688401693769527      0.037699111843077525     0.06929377736974797      0.037699111843077525     0.07180840296222697      0.037699111843077525     0.07430032673704652      0.037699111843077525     0.07682896100210969      0.037699111843077525     0.07935338578848336      0.037699111843077525     0.0818517958497373       0.037699111843077525     0.08425616889084422      0.037699111843077525     0.08661535450376738      0.037699111843077525     0.08905033255918962      0.037699111843077525     0.09140633358195505      0.037699111843077525     0.09375438206872622      0.037699111843077525     0.09605487483544747      0.037699111843077525     0.09837947779405752      0.037699111843077525     0.1006636150944195       0.037699111843077525     0.10286374903635195      0.037699111843077525
0.0439822971502571        0.0014303997253977212    0.0439822971502571       0.007173036127351269     0.0439822971502571       0.01213870532366739      0.0439822971502571       0.016577611187134977     0.0439822971502571       0.020423022604943334     0.0439822971502571       0.023641054790026803     0.0439822971502571       0.02674071935803436      0.0439822971502571       0.02925508362806494      0.0439822971502571       0.031843564601987444     0.0439822971502571       0.034404773560911574     0.0439822971502571       0.03696353444920139      0.0439822971502571       0.039549572407461354     0.0439822971502571       0.042234084242053126     0.0439822971502571       0.044962146080358756     0.0439822971502571       0.04772975854149619      0.0439822971502571       0.05045436212494334      0.0439822971502571       0.053381861076892266     0.0439822971502571       0.05619158402234748      0.0439822971502571       0.05903258376674823      0.0439822971502571       0.06191187689231006      0.0439822971502571       0.06464282362231243      0.0439822971502571       0.0674089348534837       0.0439822971502571       0.07025104959892277      0.0439822971502571       0.07295766367795602      0.0439822971502571       0.07570354342424468      0.0439822971502571       0.07829344321216872      0.0439822971502571       0.08095488506342266      0.0439822971502571       0.08356500333576962      0.0439822971502571       0.08620484533934274      0.0439822971502571       0.08884218801322827      0.0439822971502571       0.091473135897715        0.0439822971502571       0.09403007203626433      0.0439822971502571       0.09658088952189371      0.0439822971502571       0.09926880130424834      0.0439822971502571       0.10191555143173418      0.0439822971502571       0.10460977846257201      0.0439822971502571       0.1072962957819357       0.0439822971502571       0.11004857002502719      0.0439822971502571       0.11277856505717612      0.0439822971502571       0.11543180968693026      0.0439822971502571
0.05026548245743669       0.0016958271382890287    0.05026548245743669      0.005329242105085848     0.05026548245743669      0.009101426259306567     0.05026548245743669      0.012626740233100031     0.05026548245743669      0.01582024105625897      0.05026548245743669      0.018600781447995714     0.05026548245743669      0.02134865838598057      0.05026548245743669      0.02365560036956058      0.05026548245743669      0.02602325717773745      0.05026548245743669      0.028340900374126277     0.05026548245743669      0.03060713600923478      0.05026548245743669      0.03282454880679133      0.05026548245743669      0.03504827805151748      0.05026548245743669      0.03723107361506042      0.05026548245743669      0.03937925026448882      0.05026548245743669      0.04143538077889997      0.05026548245743669      0.04361163655291835      0.05026548245743669      0.04567332034805339      0.05026548245743669      0.04775721435388394      0.05026548245743669      0.04989446059186895      0.05026548245743669      0.051943190649804974     0.05026548245743669      0.054068109495396956     0.05026548245743669      0.0563126358171591       0.05026548245743669      0.05850537430601674      0.05026548245743669      0.06079539265900608      0.05026548245743669      0.06300442298125467      0.05026548245743669      0.06531848766498494      0.05026548245743669      0.06761908174465897      0.05026548245743669      0.06995928108431755      0.05026548245743669      0.07229590308381317      0.05026548245743669      0.07460736408906093      0.05026548245743669      0.07682955110322295      0.05026548245743669      0.07900406628765967      0.05026548245743669      0.08124179494553983      0.05026548245743669      0.08339393331175136      0.05026548245743669      0.08553227583490398      0.05026548245743669      0.08761598388677166      0.05026548245743669      0.08971429428836385      0.05026548245743669      0.09176766927868106      0.05026548245743669      0.09374013931755228      0.05026548245743669
0.05654866776461628       6.896054697499145E-4     0.05654866776461628      0.0031891374383294343    0.05654866776461628      0.005331955784290428     0.05654866776461628      0.007218722942537538     0.05654866776461628      0.008818377024028708     0.05654866776461628      0.010112252780419655     0.05654866776461628      0.011325654055759858     0.05654866776461628      0.012269002204673514     0.05654866776461628      0.01323209680032991      0.05654866776461628      0.014185745264218473     0.05654866776461628      0.01515261217611672      0.05654866776461628      0.01615588518746389      0.05654866776461628      0.017231520541005085     0.05654866776461628      0.01836002020028029      0.05654866776461628      0.019537990839994787     0.05654866776461628      0.020725493160536953     0.05654866776461628      0.0220211321371662       0.05654866776461628      0.023283729495267823     0.05654866776461628      0.024564746576362425     0.05654866776461628      0.025856963366119208     0.05654866776461628      0.027077914496075474     0.05654866776461628      0.028295789909909937     0.05654866776461628      0.029524282105639336     0.05654866776461628      0.03066910243947532      0.05654866776461628      0.031804561263022474     0.05654866776461628      0.03284897932035475      0.05654866776461628      0.033902852634714445     0.05654866776461628      0.03491576108091283      0.05654866776461628      0.03593028413641833      0.05654866776461628      0.036938322545127494     0.05654866776461628      0.03794730729101666      0.05654866776461628      0.03893292793747019      0.05654866776461628      0.03993112305340946      0.05654866776461628      0.041006147783342814     0.05654866776461628      0.042089403731029935     0.05654866776461628      0.043213040409322875     0.05654866776461628      0.04435824657091458      0.05654866776461628      0.04555231844850064      0.05654866776461628      0.04675315622393738      0.05654866776461628      0.047932069363358684     0.05654866776461628
