% Model:              Numerators_rectangularDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 11:45
% Dimension:          1
% Nodes:              1001
% Expressions:        40
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      2.1514065115201718E-16   0.006283185307179587     2.398232694508051E-16    0.006283185307179587     2.641220160346338E-16    0.006283185307179587     2.840573201939897E-16    0.006283185307179587     3.0056675110114743E-16   0.006283185307179587     3.1030004092932915E-16   0.006283185307179587     3.1125800453506946E-16   0.006283185307179587     3.0917859142662584E-16   0.006283185307179587     3.043918164864131E-16    0.006283185307179587     2.990183342496948E-16    0.006283185307179587     2.9335516999102506E-16   0.006283185307179587     2.8803968575143503E-16   0.006283185307179587     2.8395827208747954E-16   0.006283185307179587     2.795860962217614E-16    0.006283185307179587     2.764674976581298E-16    0.006283185307179587     2.7356153087285233E-16   0.006283185307179587     2.7076781113526596E-16   0.006283185307179587     2.687551689488046E-16    0.006283185307179587     2.6681336782818786E-16   0.006283185307179587     2.655596490883406E-16    0.006283185307179587
0.012566370614359173      3.9222329694522365E-16   0.012566370614359173     4.371998353395519E-16    0.012566370614359173     4.814738508871334E-16    0.012566370614359173     5.177925802065031E-16    0.012566370614359173     5.478626439455177E-16    0.012566370614359173     5.655798758686141E-16    0.012566370614359173     5.673024845157465E-16    0.012566370614359173     5.634854449011466E-16    0.012566370614359173     5.547345106518948E-16    0.012566370614359173     5.449139560398344E-16    0.012566370614359173     5.345695947304815E-16    0.012566370614359173     5.248568765727551E-16    0.012566370614359173     5.173967885688627E-16    0.012566370614359173     5.094068634850611E-16    0.012566370614359173     5.036999166490537E-16    0.012566370614359173     4.983827858816326E-16    0.012566370614359173     4.932718800900933E-16    0.012566370614359173     4.895822094885023E-16    0.012566370614359173     4.860241257551609E-16    0.012566370614359173     4.837191952947592E-16    0.012566370614359173
0.01884955592153876       1.6298700068419497E-16   0.01884955592153876      1.816557283802031E-16    0.01884955592153876      2.0002957559763988E-16   0.01884955592153876      2.150972297801114E-16    0.01884955592153876      2.2756447960580475E-16   0.01884955592153876      2.348994403916901E-16    0.01884955592153876      2.3559191678689755E-16   0.01884955592153876      2.3397881890606846E-16   0.01884955592153876      2.3031766065765306E-16   0.01884955592153876      2.262110734258401E-16    0.01884955592153876      2.2189204448492636E-16   0.01884955592153876      2.1783208075671076E-16   0.01884955592153876      2.1471129559547723E-16   0.01884955592153876      2.1137031447052752E-16   0.01884955592153876      2.0897443596233878E-16   0.01884955592153876      2.0674316266501038E-16   0.01884955592153876      2.045991348767921E-16    0.01884955592153876      2.030416098589082E-16    0.01884955592153876      2.0154192801506626E-16   0.01884955592153876      2.005610038569274E-16    0.01884955592153876
0.025132741228718346      4.926000046454619E-19    0.025132741228718346     5.532614288913621E-19    0.025132741228718346     6.132933285369424E-19    0.025132741228718346     6.633581762651858E-19    0.025132741228718346     7.055483654628247E-19    0.025132741228718346     7.319864426705025E-19    0.025132741228718346     7.377995105243065E-19    0.025132741228718346     7.365303339944995E-19    0.025132741228718346     7.286289096085334E-19    0.025132741228718346     7.1938202757130265E-19   0.025132741228718346     7.08737569563313E-19     0.025132741228718346     6.991330719372616E-19    0.025132741228718346     6.917684858950008E-19    0.025132741228718346     6.837666726138963E-19    0.025132741228718346     6.7887800361322875E-19   0.025132741228718346     6.741596617601303E-19    0.025132741228718346     6.695563069505142E-19    0.025132741228718346     6.670960198338763E-19    0.025132741228718346     6.644907828877918E-19    0.025132741228718346     6.636672993535955E-19    0.025132741228718346
0.031415926535897934      1.0881676755559198E-16   0.03141592653589793      1.212769916095121E-16    0.03141592653589793      1.335421203364869E-16    0.03141592653589793      1.4360118035142266E-16   0.03141592653589793      1.519289820658616E-16    0.03141592653589793      1.5682878387153546E-16   0.03141592653589793      1.572909433626593E-16    0.03141592653589793      1.5622340444434813E-16   0.03141592653589793      1.5378531111929424E-16   0.03141592653589793      1.5105773848333853E-16   0.03141592653589793      1.481799730195505E-16    0.03141592653589793      1.4548504646166218E-16   0.03141592653589793      1.4341354704683819E-16   0.03141592653589793      1.411976719318616E-16    0.03141592653589793      1.3962219870188034E-16   0.03141592653589793      1.381527377469738E-16    0.03141592653589793      1.3674227572928378E-16   0.03141592653589793      1.3573435280662567E-16   0.03141592653589793      1.3475933071693332E-16   0.03141592653589793      1.341364151707873E-16    0.03141592653589793
0.03769911184307752       1.1182512253211322E-16   0.037699111843077525     1.2457258919213398E-16   0.037699111843077525     1.3711371130495205E-16   0.037699111843077525     1.4738827732320577E-16   0.037699111843077525     1.558783493601218E-16    0.037699111843077525     1.6084714820434993E-16   0.037699111843077525     1.6126377785834713E-16   0.037699111843077525     1.6010774413006612E-16   0.037699111843077525     1.575466673005733E-16    0.037699111843077525     1.546922123748291E-16    0.037699111843077525     1.5169006912414052E-16   0.037699111843077525     1.4887557918264213E-16   0.037699111843077525     1.467070702107369E-16    0.037699111843077525     1.4439231779423619E-16   0.037699111843077525     1.4273467372877111E-16   0.037699111843077525     1.411895320539873E-16    0.037699111843077525     1.3970973959011017E-16   0.037699111843077525     1.3864224808387497E-16   0.037699111843077525     1.3761219542856984E-16   0.037699111843077525     1.369435081699027E-16    0.037699111843077525
0.0439822971502571        6.327824309311841E-18    0.0439822971502571       7.033569916206805E-18    0.0439822971502571       7.726156113505474E-18    0.0439822971502571       8.291172120891107E-18    0.0439822971502571       8.75363773227332E-18     0.0439822971502571       9.017570264119596E-18    0.0439822971502571       9.026040626796054E-18    0.0439822971502571       8.946426513962513E-18    0.0439822971502571       8.787935042275949E-18    0.0439822971502571       8.614879880348361E-18    0.0439822971502571       8.434729495186789E-18    0.0439822971502571       8.266298894076284E-18    0.0439822971502571       8.136076438109395E-18    0.0439822971502571       7.998367782936376E-18    0.0439822971502571       7.898841138473423E-18    0.0439822971502571       7.806503337625398E-18    0.0439822971502571       7.719592769916991E-18    0.0439822971502571       7.656901268768307E-18    0.0439822971502571       7.596992919982884E-18    0.0439822971502571       7.558051823163091E-18    0.0439822971502571
0.05026548245743669       4.2675974535949536E-17   0.05026548245743669      4.76286383306226E-17     0.05026548245743669      5.251048728004618E-17    0.05026548245743669      5.652583736867328E-17    0.05026548245743669      5.98651526959392E-17     0.05026548245743669      6.186032077598862E-17    0.05026548245743669      6.210745544799054E-17    0.05026548245743669      6.175016034951375E-17    0.05026548245743669      6.0853364683194E-17      0.05026548245743669      5.983267250885988E-17    0.05026548245743669      5.875238174780814E-17    0.05026548245743669      5.773647459549324E-17    0.05026548245743669      5.696347762835916E-17    0.05026548245743669      5.612839526874512E-17    0.05026548245743669      5.553892173815963E-17    0.05026548245743669      5.499024768741177E-17    0.05026548245743669      5.445840350091372E-17    0.05026548245743669      5.407834789403849E-17    0.05026548245743669      5.3710595104104457E-17   0.05026548245743669      5.347760012350762E-17    0.05026548245743669
0.05654866776461628       8.50967712715019E-17     0.05654866776461628      9.488304150286624E-17    0.05654866776461628      1.0451869610147651E-16   0.05654866776461628      1.1242725046210724E-16   0.05654866776461628      1.189794298985676E-16    0.05654866776461628      1.228520024130853E-16    0.05654866776461628      1.2325116978836343E-16   0.05654866776461628      1.22444195577856E-16     0.05654866776461628      1.2056554392220522E-16   0.05654866776461628      1.1844775684109445E-16   0.05654866776461628      1.1621885730511428E-16   0.05654866776461628      1.141191700950419E-16    0.05654866776461628      1.1250967253012242E-16   0.05654866776461628      1.1078041841927279E-16   0.05654866776461628      1.0953996377435339E-16   0.05654866776461628      1.0838514204622444E-16   0.05654866776461628      1.0727097032427242E-16   0.05654866776461628      1.0645862378181261E-16   0.05654866776461628      1.0567507529457898E-16   0.05654866776461628      1.0516015319848705E-16   0.05654866776461628
