% Model:              DipoleAxial_above2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 15 2025, 17:50
% Dimension:          1
% Nodes:              1001
% Expressions:        8
% Description:        Radiation pattern
% theta                   Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      9.188813958576087E-11    0.006283185307179587     3.036838268038114E-10    0.006283185307179587     8.063578416403687E-10    0.006283185307179587     2.2690765686521423E-9    0.006283185307179587
0.012566370614359173      6.604364154226285E-11    0.012566370614359173     2.1827022836838154E-10   0.012566370614359173     5.795614147647703E-10    0.012566370614359173     1.6308833995766656E-9    0.012566370614359173
0.01884955592153876       3.7135454148818503E-11   0.01884955592153876      1.2273069150338977E-10   0.01884955592153876      3.258810331244454E-10    0.01884955592153876      9.170224017104009E-10    0.01884955592153876
0.025132741228718346      7.755220098220214E-12    0.025132741228718346     2.5630885980012063E-11   0.025132741228718346     6.805572218440485E-11    0.025132741228718346     1.9151214644241758E-10   0.025132741228718346
0.031415926535897934      1.6960022844708242E-11   0.03141592653589793      5.6050768064615375E-11   0.03141592653589793      1.4882923667735775E-10   0.03141592653589793      4.187997751809367E-10    0.03141592653589793
0.03769911184307752       3.241018477834204E-11    0.037699111843077525     1.0711299948913005E-10   0.037699111843077525     2.844129368402667E-10    0.037699111843077525     8.003348251882419E-10    0.037699111843077525
0.0439822971502571        3.6289648597532594E-11   0.0439822971502571       1.1993492824039122E-10   0.0439822971502571       3.1845627318733766E-10   0.0439822971502571       8.961259147748772E-10    0.0439822971502571
0.05026548245743669       2.950791284501576E-11    0.05026548245743669      9.752189563387231E-11    0.05026548245743669      2.5894598739815906E-10   0.05026548245743669      7.286808221291296E-10    0.05026548245743669
0.05654866776461628       1.4926652945383527E-11   0.05654866776461628      4.9332949100963115E-11   0.05654866776461628      1.3098975170029695E-10   0.05654866776461628      3.685968084924012E-10    0.05654866776461628
