% Model:              Numerators_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 12:47
% Dimension:          1
% Nodes:              1001
% Expressions:        38
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      1.956364063389311E-14    0.006283185307179587     3.269823659904447E-14    0.006283185307179587     6.029609621591479E-14    0.006283185307179587     1.0478557249581746E-13   0.006283185307179587     1.6711955191674433E-13   0.006283185307179587     2.456946583445683E-13    0.006283185307179587     3.3112711851623467E-13   0.006283185307179587     4.089761637838943E-13    0.006283185307179587     4.727739995420304E-13    0.006283185307179587     5.263203204431198E-13    0.006283185307179587     5.76605858578186E-13     0.006283185307179587     6.341940695234326E-13    0.006283185307179587     7.150862217113932E-13    0.006283185307179587     8.318902747468815E-13    0.006283185307179587     9.84470685121608E-13     0.006283185307179587     1.1625055864582092E-12   0.006283185307179587     1.3529029800209557E-12   0.006283185307179587     1.5386950404718631E-12   0.006283185307179587     1.7009333172986942E-12   0.006283185307179587
0.012566370614359173      3.567850641398565E-14    0.012566370614359173     5.956985964846108E-14    0.012566370614359173     1.0976640548464534E-13   0.012566370614359173     1.9070565893125208E-13   0.012566370614359173     3.041611214345382E-13    0.012566370614359173     4.472377732850178E-13    0.012566370614359173     6.028559784947456E-13    0.012566370614359173     7.447217339149748E-13    0.012566370614359173     8.610411716380043E-13    0.012566370614359173     9.586895122611598E-13    0.012566370614359173     1.0503309414815242E-12   0.012566370614359173     1.15514377196212E-12     0.012566370614359173     1.3022560244583735E-12   0.012566370614359173     1.5146756834654782E-12   0.012566370614359173     1.792254525012863E-12    0.012566370614359173     2.116315173647028E-12    0.012566370614359173     2.4630973423457516E-12   0.012566370614359173     2.80168540342998E-12     0.012566370614359173     3.0974629837371987E-12   0.012566370614359173
0.01884955592153876       1.4831291193295982E-14   0.01884955592153876      2.4685578973426947E-14   0.01884955592153876      4.5392009134825405E-14   0.01884955592153876      7.88094768930518E-14     0.01884955592153876      1.2571782624307167E-13   0.01884955592153876      1.849417514615313E-13    0.01884955592153876      2.4941377495996096E-13   0.01884955592153876      3.082544972511429E-13    0.01884955592153876      3.5657331248647386E-13   0.01884955592153876      3.971701855500185E-13    0.01884955592153876      4.3520351332113217E-13   0.01884955592153876      4.785307028932193E-13    0.01884955592153876      5.391883462222653E-13    0.01884955592153876      6.267602228703291E-13    0.01884955592153876      7.413162797894732E-13    0.01884955592153876      8.752891912332398E-13    0.01884955592153876      1.0189543629455691E-12   0.01884955592153876      1.1594817176982376E-12   0.01884955592153876      1.2823704010852789E-12   0.01884955592153876
0.025132741228718346      3.810467393917562E-17    0.025132741228718346     6.649365586927338E-17    0.025132741228718346     1.2931997452751204E-16   0.025132741228718346     2.319030917452383E-16    0.025132741228718346     3.7512129822942165E-16   0.025132741228718346     5.542383968974449E-16    0.025132741228718346     7.456628519376701E-16    0.025132741228718346     9.115972245691088E-16    0.025132741228718346     1.0344573197668941E-15   0.025132741228718346     1.1274419998981875E-15   0.025132741228718346     1.217300067505176E-15    0.025132741228718346     1.3385814340287924E-15   0.025132741228718346     1.5312150414682654E-15   0.025132741228718346     1.818445288985334E-15    0.025132741228718346     2.186777773855748E-15    0.025132741228718346     2.59669782105193E-15     0.025132741228718346     3.0098694121447742E-15   0.025132741228718346     3.394968788529686E-15    0.025132741228718346     3.725883729680004E-15    0.025132741228718346
0.031415926535897934      9.932570688118666E-15    0.03141592653589793      1.6629362683509584E-14   0.03141592653589793      3.067281275328806E-14    0.03141592653589793      5.3271913795844015E-14   0.03141592653589793      8.490749296671774E-14    0.03141592653589793      1.2480916071175065E-13   0.03141592653589793      1.682510635500478E-13    0.03141592653589793      2.0785435813244579E-13   0.03141592653589793      2.4023314847126383E-13   0.03141592653589793      2.672833820087466E-13    0.03141592653589793      2.9264208509277017E-13   0.03141592653589793      3.2182239946408426E-13   0.03141592653589793      3.6304801891172817E-13   0.03141592653589793      4.227050670553362E-13    0.03141592653589793      5.005716985656715E-13    0.03141592653589793      5.911623412519314E-13    0.03141592653589793      6.876624605066111E-13    0.03141592653589793      7.815567890765557E-13    0.03141592653589793      8.635701478259114E-13    0.03141592653589793
0.03769911184307752       1.0248986970668307E-14   0.037699111843077525     1.7046634281190404E-14   0.037699111843077525     3.1283131414405684E-14   0.037699111843077525     5.4211334141769724E-14   0.037699111843077525     8.63969535640831E-14     0.037699111843077525     1.271278315825665E-13    0.037699111843077525     1.716197550373446E-13    0.037699111843077525     2.123180216570818E-13    0.037699111843077525     2.45669160398743E-13     0.037699111843077525     2.734928161534406E-13    0.037699111843077525     2.9941645152507434E-13   0.037699111843077525     3.290443919793501E-13    0.037699111843077525     3.7082058999284364E-13   0.037699111843077525     4.313654980870049E-13    0.037699111843077525     5.105687229835296E-13    0.037699111843077525     6.029232734585985E-13    0.037699111843077525     7.015211177636689E-13    0.037699111843077525     7.976741742764194E-13    0.037699111843077525     8.81884821341763E-13     0.037699111843077525
0.0439822971502571        5.886135136203262E-16    0.0439822971502571       9.464358231799707E-16    0.0439822971502571       1.6929344431370066E-15   0.0439822971502571       2.9002181186354497E-15   0.0439822971502571       4.620251246242793E-15    0.0439822971502571       6.841216735908113E-15    0.0439822971502571       9.321114329589543E-15    0.0439822971502571       1.163459851516934E-14    0.0439822971502571       1.3538135348747778E-14   0.0439822971502571       1.508413805984693E-14    0.0439822971502571       1.645659800769973E-14    0.0439822971502571       1.798358114087659E-14    0.0439822971502571       2.016628301979456E-14    0.0439822971502571       2.3403136492806684E-14   0.0439822971502571       2.7704090270759053E-14   0.0439822971502571       3.275423356678034E-14    0.0439822971502571       3.814973856348941E-14    0.0439822971502571       4.3416939352237844E-14   0.0439822971502571       4.8079096480118355E-14   0.0439822971502571
0.05026548245743669       3.831225609204012E-15    0.05026548245743669      6.468466178369375E-15    0.05026548245743669      1.2038791680364958E-14   0.05026548245743669      2.1028427701148855E-14   0.05026548245743669      3.357167131784441E-14    0.05026548245743669      4.926289603014266E-14    0.05026548245743669      6.617621565818494E-14    0.05026548245743669      8.1483693146143E-14      0.05026548245743669      9.403795875860372E-14    0.05026548245743669      1.0470036359617691E-13   0.05026548245743669      1.1486038750361121E-13   0.05026548245743669      1.2653628095697032E-13   0.05026548245743669      1.4282041829631752E-13   0.05026548245743669      1.6617332393126714E-13   0.05026548245743669      1.9659660631512035E-13   0.05026548245743669      2.3213549175754605E-13   0.05026548245743669      2.702518823479962E-13    0.05026548245743669      3.074727471172202E-13    0.05026548245743669      3.397884284705918E-13    0.05026548245743669
0.05654866776461628       7.709044871576281E-15    0.05654866776461628      1.2860223033723214E-14   0.05654866776461628      2.370554809637461E-14    0.05654866776461628      4.122652406701225E-14    0.05654866776461628      6.579914138015697E-14    0.05654866776461628      9.673836807944437E-14    0.05654866776461628      1.3030037362300171E-13   0.05654866776461628      1.6086008988038042E-13   0.05654866776461628      1.8600888812406455E-13   0.05654866776461628      2.0729718228320808E-13   0.05654866776461628      2.2737150290965918E-13   0.05654866776461628      2.501942010588633E-13    0.05654866776461628      2.819249537408062E-13    0.05654866776461628      3.2753203660284597E-13   0.05654866776461628      3.871427914035606E-13    0.05654866776461628      4.570028310547385E-13    0.05654866776461628      5.321883955621424E-13    0.05654866776461628      6.059186616680817E-13    0.05654866776461628      6.703075777503574E-13    0.05654866776461628
