% Model:              RefIndices_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Nov 10 2025, 22:55
% Dimension:          1
% Nodes:              1001
% Expressions:        42
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      3.323395047926463E-17    0.006283185307179587     3.317547333861037E-17    0.006283185307179587     2.321388109610514E-17    0.006283185307179587     3.0169635390255964E-17   0.006283185307179587     3.1276445222648033E-17   0.006283185307179587     2.0071349804715587E-17   0.006283185307179587     5.81146992748696E-17     0.006283185307179587     3.915523614598692E-17    0.006283185307179587     7.834056492179892E-17    0.006283185307179587     5.751203100759343E-16    0.006283185307179587     1.1919362568467653E-14   0.006283185307179587     2.417152408564206E-16    0.006283185307179587     6.382627395766795E-17    0.006283185307179587     1.847902900195406E-19    0.006283185307179587     1.5708366905797535E-17   0.006283185307179587     8.351991191704498E-18    0.006283185307179587     2.4247835956016117E-19   0.006283185307179587     5.97139804386811E-18     0.006283185307179587     2.3652009969338577E-18   0.006283185307179587     4.953193461025081E-19    0.006283185307179587     3.2742773779388363E-18   0.006283185307179587
0.012566370614359173      9.57983379264839E-17     0.012566370614359173     8.888980496745602E-17    0.012566370614359173     5.73167131238562E-17     0.012566370614359173     6.802976882891748E-17    0.012566370614359173     6.369189485971781E-17    0.012566370614359173     3.655282257993137E-17    0.012566370614359173     9.341350981969743E-17    0.012566370614359173     5.4755444018590845E-17   0.012566370614359173     9.407738750706651E-17    0.012566370614359173     5.814041802882388E-16    0.012566370614359173     9.946049830752167E-15    0.012566370614359173     1.6236116375544847E-16   0.012566370614359173     3.3541268936371875E-17   0.012566370614359173     7.326328262145053E-20    0.012566370614359173     4.448595839123509E-18    0.012566370614359173     1.5962576889403193E-18   0.012566370614359173     2.6984830716334254E-20   0.012566370614359173     3.5802918713757908E-19   0.012566370614359173     5.602874037245659E-20    0.012566370614359173     1.566716844025349E-21    0.012566370614359173     3.494200571926172E-21    0.012566370614359173
0.01884955592153876       1.1906471319677571E-16   0.01884955592153876      9.521932594732886E-17    0.01884955592153876      5.151078463108392E-17    0.01884955592153876      4.963551174937554E-17    0.01884955592153876      3.6016892005203714E-17   0.01884955592153876      1.5135544784864897E-17   0.01884955592153876      2.587578656019724E-17    0.01884955592153876      8.763559808564353E-18    0.01884955592153876      6.693708411867827E-18    0.01884955592153876      8.566633006996267E-18    0.01884955592153876      1.6268650499167993E-17   0.01884955592153876      7.269756890710219E-18    0.01884955592153876      5.495180364296053E-18    0.01884955592153876      2.848344408129193E-20    0.01884955592153876      3.559573356578844E-18    0.01884955592153876      2.395287052694012E-18    0.01884955592153876      8.044586214434172E-20    0.01884955592153876      2.1103055036168042E-18   0.01884955592153876      8.296482969642495E-19    0.01884955592153876      1.6026738031142E-19      0.01884955592153876      9.312694780904356E-19    0.01884955592153876
0.025132741228718346      8.000575239941801E-17    0.025132741228718346     4.669864191155178E-17    0.025132741228718346     1.6261253123620483E-17   0.025132741228718346     7.928049997485252E-18    0.025132741228718346     1.4727608035520562E-18   0.025132741228718346     4.622388134784916E-20    0.025132741228718346     3.840226401266251E-18    0.025132741228718346     7.164714143798714E-18    0.025132741228718346     2.365492623187232E-17    0.025132741228718346     2.2525579789329435E-16   0.025132741228718346     5.141626824874438E-15    0.025132741228718346     1.0076343439895187E-16   0.025132741228718346     2.2809941644167247E-17   0.025132741228718346     4.8859079136510896E-20   0.025132741228718346     2.6634986950267568E-18   0.025132741228718346     7.053595744264993E-19    0.025132741228718346     5.032589769666625E-21    0.025132741228718346     3.650658830903995E-21    0.025132741228718346     2.8455429749130225E-20   0.025132741228718346     2.7868481857304646E-20   0.025132741228718346     3.583042958311989E-19    0.025132741228718346
0.031415926535897934      2.2093421677175723E-17   0.03141592653589793      4.010945086783482E-18    0.03141592653589793      9.087154833597653E-20    0.03141592653589793      3.924820789745943E-18    0.03141592653589793      1.0601821268162425E-17   0.03141592653589793      1.0203120831371401E-17   0.03141592653589793      3.339965004328584E-17    0.03141592653589793      2.0694209140456162E-17   0.03141592653589793      3.1468162957558986E-17   0.03141592653589793      1.3847215803050402E-16   0.03141592653589793      1.2079882185124575E-15   0.03141592653589793      4.2811935412773434E-18   0.03141592653589793      1.6930008620475654E-19   0.03141592653589793      8.554554004522924E-21    0.03141592653589793      1.823529773541849E-18    0.03141592653589793      1.5283600571075836E-18   0.03141592653589793      5.426676669310242E-20    0.03141592653589793      1.2810808738358635E-18   0.03141592653589793      4.0775171961141284E-19   0.03141592653589793      5.0755323327074083E-20   0.03141592653589793      1.381974592173888E-19    0.03141592653589793
0.03769911184307752       1.9507159475197895E-19   0.037699111843077525     7.696522471816143E-18    0.037699111843077525     1.30143571676798E-17     0.037699111843077525     2.2545699532149066E-17   0.037699111843077525     2.2369589216514553E-17   0.037699111843077525     1.0433906655129695E-17   0.037699111843077525     1.5548681055330916E-17   0.037699111843077525     2.913398075170358E-18    0.037699111843077525     9.50483888449762E-20     0.037699111843077525     2.2760959010833264E-17   0.037699111843077525     1.6230858722560937E-15   0.037699111843077525     5.395026152714557E-17    0.037699111843077525     1.6021287980475766E-17   0.037699111843077525     3.971887739991762E-20    0.037699111843077525     1.9768423143285946E-18   0.037699111843077525     3.7276124616792177E-19   0.037699111843077525     2.786058610183448E-22    0.037699111843077525     9.171576853471917E-20    0.037699111843077525     1.5720010581738536E-19   0.037699111843077525     6.395006436269751E-20    0.037699111843077525     5.296545432196471E-19    0.037699111843077525
0.0439822971502571        1.992718580231721E-17    0.0439822971502571       3.147943824277149E-17    0.0439822971502571       2.1436131462332112E-17   0.0439822971502571       1.838825712632143E-17    0.0439822971502571       7.557118044354275E-18    0.0439822971502571       5.791045568311952E-19    0.0439822971502571       1.2106755965099494E-18   0.0439822971502571       5.68933515795888E-18     0.0439822971502571       2.0810349715877698E-17   0.0439822971502571       1.6826566650511418E-16   0.0439822971502571       2.5479625582355402E-15   0.0439822971502571       2.2514938466618658E-17   0.0439822971502571       7.290626730362192E-19    0.0439822971502571       1.653296020083859E-21    0.0439822971502571       1.1416415424384427E-18   0.0439822971502571       1.1749169258129975E-18   0.0439822971502571       3.881477578241247E-20    0.0439822971502571       7.516484839378357E-19    0.0439822971502571       1.3665248707718985E-19   0.0439822971502571       2.5367801107471488E-21   0.0439822971502571       2.6270075497646392E-20   0.0439822971502571
0.05026548245743669       4.145592760857389E-17    0.05026548245743669      3.1777253170916373E-17   0.05026548245743669      9.82253200818813E-18     0.05026548245743669      1.749196706771369E-18    0.05026548245743669      8.248277198111125E-19    0.05026548245743669      3.986938235481265E-18    0.05026548245743669      1.9903427331694513E-17   0.05026548245743669      1.24780119304945E-17     0.05026548245743669      1.3304818452861641E-17   0.05026548245743669      1.8226993081000184E-17   0.05026548245743669      7.411184194222748E-17    0.05026548245743669      1.9538051757222193E-17   0.05026548245743669      1.0399832641176393E-17   0.05026548245743669      3.09600180875256E-20     0.05026548245743669      1.6128124518512372E-18   0.05026548245743669      2.0665221743667238E-19   0.05026548245743669      9.602109835552316E-22    0.05026548245743669      2.7884631937183113E-19   0.05026548245743669      2.5513071277490016E-19   0.05026548245743669      6.256094969723399E-20    0.05026548245743669      2.7191380350427823E-19   0.05026548245743669
0.05654866776461628       3.4093632370239273E-17   0.05654866776461628      1.0116040598869366E-17   0.05654866776461628      8.65726225459511E-20     0.05654866776461628      4.549990003619423E-18    0.05654866776461628      1.2023448221692813E-17   0.05654866776461628      7.884495330505868E-18    0.05654866776461628      1.1608737203296645E-17   0.05654866776461628      9.760414065180693E-19    0.05654866776461628      1.6385193647291664E-18   0.05654866776461628      7.592261349380069E-17    0.05654866776461628      2.3873477961250723E-15   0.05654866776461628      3.590895052216785E-17    0.05654866776461628      2.8688010095862477E-18   0.05654866776461628      1.1243356333709888E-22   0.05654866776461628      7.78170467559327E-19     0.05654866776461628      9.7935099729344E-19      0.05654866776461628      2.944625795889726E-20    0.05654866776461628      3.5489344309566596E-19   0.05654866776461628      1.358016822029316E-20    0.05654866776461628      8.614982941597043E-21    0.05654866776461628      2.4320488289096737E-19   0.05654866776461628
