% Model:              TmpHorizontal.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 20 2025, 22:08
% Dimension:          1
% Nodes:              1001
% Expressions:        82
% Description:        Radiation pattern
% theta                   emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle            emw.normEfar^2           Azimuth angle
0                         6.407782194305368E-11    0                        6.788222864097905E-11    0                        6.448827483341147E-11    0                        6.097717299991565E-11    0                        6.827853236265245E-11    0                        6.623994498345227E-11    0                        6.597716065431187E-11    0                        6.977971485643462E-11    0                        6.246060578165846E-11    0                        6.209687125968665E-11    0                        6.460185839006551E-11    0                        6.112876683795771E-11    0                        6.618706848907642E-11    0                        6.705679387162335E-11    0                        6.236784296826539E-11    0                        6.443701610062323E-11    0                        6.088979222870675E-11    0                        5.989603496894968E-11    0                        6.560896843467949E-11    0                        6.271940139091403E-11    0                        2.45610089902839E-11     0                        6.532254389759252E-13    0                        1.0197697034609744E-13   0                        1.8574335277894103E-14   0                        4.554242224796485E-15    0                        1.6922262954232653E-15   0                        9.238012615793109E-16    0                        6.370536970636457E-16    0                        4.95826710245629E-16     0                        4.1587178018294426E-16   0                        3.736057199838118E-16    0                        3.5360596092748223E-16   0                        3.517116195490617E-16    0                        3.6236329951787566E-16   0                        3.902113071428636E-16    0                        4.381472983983816E-16    0                        5.083482557440566E-16    0                        5.963954697405811E-16    0                        6.904499662183896E-16    0                        7.839740038873412E-16    0                        8.695108344401886E-16    0
0.006283185307179587      7.03792937499658E-11     0.006283185307179587     7.30363287994103E-11     0.006283185307179587     6.832534285642176E-11    0.006283185307179587     6.348346679728724E-11    0.006283185307179587     6.878277304738031E-11    0.006283185307179587     6.503980052696164E-11    0.006283185307179587     6.341667628589347E-11    0.006283185307179587     6.588248516024416E-11    0.006283185307179587     5.844269768988998E-11    0.006283185307179587     5.7565180473242014E-11   0.006283185307179587     5.896833354838319E-11    0.006283185307179587     5.4907871107360385E-11   0.006283185307179587     5.841803612539148E-11    0.006283185307179587     5.848164570306236E-11    0.006283185307179587     5.418215082289991E-11    0.006283185307179587     5.590116693400189E-11    0.006283185307179587     5.2734647887952036E-11   0.006283185307179587     5.161579631103206E-11    0.006283185307179587     5.597837157030731E-11    0.006283185307179587     5.320976309930105E-11    0.006283185307179587     2.0836366903722305E-11   0.006283185307179587     5.503644181798136E-13    0.006283185307179587     8.496344606731424E-14    0.006283185307179587     1.479459024882815E-14    0.006283185307179587     3.3767755738311835E-15   0.006283185307179587     1.1410414638542553E-15   0.006283185307179587     5.725335284490684E-16    0.006283185307179587     3.7245120318788735E-16   0.006283185307179587     2.787361264774013E-16    0.006283185307179587     2.2730930430931206E-16   0.006283185307179587     1.9947588271286883E-16   0.006283185307179587     1.8319509691862844E-16   0.006283185307179587     1.7524991827110417E-16   0.006283185307179587     1.7205043645233106E-16   0.006283185307179587     1.7571704303076254E-16   0.006283185307179587     1.8649066147164268E-16   0.006283185307179587     2.0423836881691867E-16   0.006283185307179587     2.256192033655495E-16    0.006283185307179587     2.450830067092691E-16    0.006283185307179587     2.602498481457566E-16    0.006283185307179587     2.673394630215171E-16    0.006283185307179587
0.012566370614359173      7.479358053361145E-11    0.012566370614359173     7.637822331981982E-11    0.012566370614359173     7.070888161232464E-11    0.012566370614359173     6.495445990470782E-11    0.012566370614359173     6.845098610755576E-11    0.012566370614359173     6.314935088943517E-11    0.012566370614359173     6.025110408742369E-11    0.012566370614359173     6.14921439270759E-11     0.012566370614359173     5.414268995866389E-11    0.012566370614359173     5.3030653581722106E-11   0.012566370614359173     5.371416925493685E-11    0.012566370614359173     4.933471557108865E-11    0.012566370614359173     5.1530170985609736E-11   0.012566370614359173     5.083852266357052E-11    0.012566370614359173     4.681873720413659E-11    0.012566370614359173     4.8273727492767335E-11   0.012566370614359173     4.564377902992285E-11    0.012566370614359173     4.462077434414858E-11    0.012566370614359173     4.792646619260088E-11    0.012566370614359173     4.5170561758512464E-11   0.012566370614359173     1.7627581052701487E-11   0.012566370614359173     4.599749696841832E-13    0.012566370614359173     6.944150638967814E-14    0.012566370614359173     1.1299831295932203E-14   0.012566370614359173     2.3227208705410054E-15   0.012566370614359173     6.979083442730798E-16    0.012566370614359173     3.283402895333483E-16    0.012566370614359173     2.1483499139714765E-16   0.012566370614359173     1.6919121354911795E-16   0.012566370614359173     1.480627468334286E-16    0.012566370614359173     1.3954402713540793E-16   0.012566370614359173     1.345735190140218E-16    0.012566370614359173     1.313395029504175E-16    0.012566370614359173     1.2711945746152625E-16   0.012566370614359173     1.2358771872376682E-16   0.012566370614359173     1.2109332384725243E-16   0.012566370614359173     1.2010157105613944E-16   0.012566370614359173     1.1907804715205834E-16   0.012566370614359173     1.1733534343555962E-16   0.012566370614359173     1.167342114921833E-16    0.012566370614359173     1.2088730870889563E-16   0.012566370614359173
0.01884955592153876       7.745105888543267E-11    0.01884955592153876      7.798286442928918E-11    0.01884955592153876      7.165447937863222E-11    0.01884955592153876      6.53942456623375E-11     0.01884955592153876      6.74223275557925E-11     0.01884955592153876      6.082941386400893E-11    0.01884955592153876      5.679060838871695E-11    0.01884955592153876      5.686453804102011E-11    0.01884955592153876      4.966103912872602E-11    0.01884955592153876      4.847212298940339E-11    0.01884955592153876      4.875990605406276E-11    0.01884955592153876      4.4356278404408976E-11   0.01884955592153876      4.5533185571345954E-11   0.01884955592153876      4.4160370593852394E-11   0.01884955592153876      4.027401708371417E-11    0.01884955592153876      4.14464358694788E-11     0.01884955592153876      3.9394537588427564E-11   0.01884955592153876      3.86371082717322E-11     0.01884955592153876      4.121923899134422E-11    0.01884955592153876      3.845964869073398E-11    0.01884955592153876      1.489800627054786E-11    0.01884955592153876      3.8289924232249683E-13   0.01884955592153876      5.620410220492535E-14    0.01884955592153876      8.519802689814634E-15    0.01884955592153876      1.6046976965904223E-15   0.01884955592153876      4.804224372436688E-16    0.01884955592153876      2.6522624175986615E-16   0.01884955592153876      2.139856591744967E-16    0.01884955592153876      2.0121451880947626E-16   0.01884955592153876      2.015966131363635E-16    0.01884955592153876      2.106025364850214E-16    0.01884955592153876      2.2104285881229683E-16   0.01884955592153876      2.3243400846698913E-16   0.01884955592153876      2.413186578663777E-16    0.01884955592153876      2.509191250668475E-16    0.01884955592153876      2.6421568629234326E-16   0.01884955592153876      2.8469021672389045E-16   0.01884955592153876      3.125779846616941E-16    0.01884955592153876      3.490113161818979E-16    0.01884955592153876      3.9872804107546613E-16   0.01884955592153876      4.739887944752997E-16    0.01884955592153876
0.025132741228718346      7.860362588695294E-11    0.025132741228718346     7.804269572500056E-11    0.025132741228718346     7.125938265358694E-11    0.025132741228718346     6.482849001026441E-11    0.025132741228718346     6.578444718698651E-11    0.025132741228718346     5.825644525639393E-11    0.025132741228718346     5.326595180993248E-11    0.025132741228718346     5.2225884552126424E-11   0.025132741228718346     4.513269591441518E-11    0.025132741228718346     4.3922971403812235E-11   0.025132741228718346     4.4046139306642354E-11   0.025132741228718346     3.987784124987321E-11    0.025132741228718346     4.034988655312776E-11    0.025132741228718346     3.8416654074358835E-11   0.025132741228718346     3.454884768213656E-11    0.025132741228718346     3.538054776437287E-11    0.025132741228718346     3.384257343007794E-11    0.025132741228718346     3.343300213285727E-11    0.025132741228718346     3.55968141134281E-11     0.025132741228718346     3.289440726791093E-11    0.025132741228718346     1.2606808017923483E-11   0.025132741228718346     3.195167262237369E-13    0.025132741228718346     4.5811850024624183E-14   0.025132741228718346     6.6950154864349345E-15   0.025132741228718346     1.3136945069082021E-15   0.025132741228718346     5.180373248313787E-16    0.025132741228718346     3.8652729240818673E-16   0.025132741228718346     3.5998274510340343E-16   0.025132741228718346     3.568225802623711E-16    0.025132741228718346     3.6453360306135763E-16   0.025132741228718346     3.8487052370157186E-16   0.025132741228718346     4.109784204783716E-16    0.025132741228718346     4.4310911417872113E-16   0.025132741228718346     4.754873012007971E-16    0.025132741228718346     5.142038761320273E-16    0.025132741228718346     5.663847174764475E-16    0.025132741228718346     6.397882545283925E-16    0.025132741228718346     7.358232087817487E-16    0.025132741228718346     8.541472977591991E-16    0.025132741228718346     1.0002572090871524E-15   0.025132741228718346     1.1937492092449602E-15   0.025132741228718346
0.031415926535897934      7.853905219648169E-11    0.03141592653589793      7.68299948621133E-11     0.03141592653589793      6.970833163638243E-11    0.03141592653589793      6.333375171517161E-11    0.03141592653589793      6.359037254944661E-11    0.03141592653589793      5.551450901231942E-11    0.03141592653589793      4.9809020415472934E-11   0.03141592653589793      4.7751747121144456E-11   0.03141592653589793      4.071405703586393E-11    0.03141592653589793      3.946692857678165E-11    0.03141592653589793      3.954705038602014E-11    0.03141592653589793      3.579046526099086E-11    0.03141592653589793      3.5845421764969E-11      0.03141592653589793      3.352166956682988E-11    0.03141592653589793      2.962706747813011E-11    0.03141592653589793      3.00689754371176E-11     0.03141592653589793      2.8906752743449723E-11   0.03141592653589793      2.8834775834854347E-11   0.03141592653589793      3.080914591990262E-11    0.03141592653589793      2.8271384065694562E-11   0.03141592653589793      1.0704892025992466E-11   0.03141592653589793      2.691752250148183E-13    0.03141592653589793      3.8336389188978626E-14   0.03141592653589793      5.803339349013708E-15    0.03141592653589793      1.4002178326653536E-15   0.03141592653589793      7.531306020579555E-16    0.03141592653589793      6.339710388012005E-16    0.03141592653589793      5.958940982542597E-16    0.03141592653589793      5.803141850368973E-16    0.03141592653589793      5.813561887464237E-16    0.03141592653589793      6.047352482144954E-16    0.03141592653589793      6.425228878302991E-16    0.03141592653589793      6.949588542831389E-16    0.03141592653589793      7.530643250173082E-16    0.03141592653589793      8.262179840485474E-16    0.03141592653589793      9.259251415223707E-16    0.03141592653589793      1.0641216398419355E-15   0.03141592653589793      1.2426042939694796E-15   0.03141592653589793      1.457215982432954E-15    0.03141592653589793      1.712022976583688E-15    0.03141592653589793      2.0305592528670196E-15   0.03141592653589793
0.03769911184307752       7.752301216528949E-11    0.037699111843077525     7.46567049212442E-11     0.037699111843077525     6.725527903946784E-11    0.037699111843077525     6.104322023995618E-11    0.037699111843077525     6.088002242043431E-11    0.037699111843077525     5.261653335147101E-11    0.037699111843077525     4.646483641740914E-11    0.037699111843077525     4.3557452229782734E-11   0.037699111843077525     3.6553525753117075E-11   0.037699111843077525     3.521183147531737E-11    0.037699111843077525     3.527022658213884E-11    0.037699111843077525     3.19996389730873E-11     0.037699111843077525     3.186792571655292E-11    0.037699111843077525     2.93528764474445E-11     0.037699111843077525     2.545991597586198E-11    0.037699111843077525     2.5500199680232155E-11   0.037699111843077525     2.4547770629133418E-11   0.037699111843077525     2.47322523541331E-11     0.037699111843077525     2.6649254280829248E-11   0.037699111843077525     2.4390131272867352E-11   0.037699111843077525     9.134263262105262E-12    0.037699111843077525     2.300459359790928E-13    0.037699111843077525     3.332276046584277E-14    0.037699111843077525     5.595911633634933E-15    0.037699111843077525     1.7116253063876963E-15   0.037699111843077525     1.074080291228896E-15    0.037699111843077525     9.166548729903724E-16    0.037699111843077525     8.432241058595269E-16    0.037699111843077525     8.00790781622432E-16     0.037699111843077525     7.84816529398242E-16     0.037699111843077525     8.023641167297637E-16    0.037699111843077525     8.43709135224182E-16     0.037699111843077525     9.085894956070813E-16    0.037699111843077525     9.85091213539419E-16     0.037699111843077525     1.0853837182944545E-15   0.037699111843077525     1.224373864828004E-15    0.037699111843077525     1.4168213726358736E-15   0.037699111843077525     1.6641630399439927E-15   0.037699111843077525     1.9575888617203153E-15   0.037699111843077525     2.2979430578318086E-15   0.037699111843077525     2.708141275839901E-15    0.037699111843077525
0.0439822971502571        7.577274964185353E-11    0.0439822971502571       7.183244931253188E-11    0.0439822971502571       6.418367666307998E-11    0.0439822971502571       5.813186698905008E-11    0.0439822971502571       5.7702855362400084E-11   0.0439822971502571       4.954406290138242E-11    0.0439822971502571       4.3222217291127096E-11   0.0439822971502571       3.969713597995808E-11    0.0439822971502571       3.275922772727493E-11    0.0439822971502571       3.1258753347006824E-11   0.0439822971502571       3.12487036050268E-11     0.0439822971502571       2.8446104270987082E-11   0.0439822971502571       2.8283655556343978E-11   0.0439822971502571       2.5771318333492395E-11   0.0439822971502571       2.1961842241888053E-11   0.0439822971502571       2.1636661105648966E-11   0.0439822971502571       2.0747105064980035E-11   0.0439822971502571       2.107152535602369E-11    0.0439822971502571       2.2971087466281944E-11   0.0439822971502571       2.1073006553562266E-11   0.0439822971502571       7.831106869045292E-12    0.0439822971502571       1.994422003639584E-13    0.0439822971502571       2.9961526341589775E-14   0.0439822971502571       5.709827976967862E-15    0.0439822971502571       2.0589888509858523E-15   0.0439822971502571       1.3597122018824905E-15   0.0439822971502571       1.1438467189941525E-15   0.0439822971502571       1.0277835567370838E-15   0.0439822971502571       9.537924758746217E-16    0.0439822971502571       9.1547051153566E-16      0.0439822971502571       9.191745788319505E-16    0.0439822971502571       9.535509879892122E-16    0.0439822971502571       1.0177644407249032E-15   0.0439822971502571       1.098321564243875E-15    0.0439822971502571       1.2088648213642805E-15   0.0439822971502571       1.3657797750405205E-15   0.0439822971502571       1.5843880934510237E-15   0.0439822971502571       1.865111402831682E-15    0.0439822971502571       2.1950954138073734E-15   0.0439822971502571       2.5709591248408864E-15   0.0439822971502571       3.0106153750216535E-15   0.0439822971502571
0.05026548245743669       7.345214127056398E-11    0.05026548245743669      6.86242877219239E-11     0.05026548245743669      6.075985719988761E-11    0.05026548245743669      5.479288537996791E-11    0.05026548245743669      5.413640953421518E-11    0.05026548245743669      4.628732090823535E-11    0.05026548245743669      4.004664823021123E-11    0.05026548245743669      3.616993952955696E-11    0.05026548245743669      2.937898879824203E-11    0.05026548245743669      2.7679993762741205E-11   0.05026548245743669      2.7529084101521462E-11   0.05026548245743669      2.511230187759938E-11    0.05026548245743669      2.4996646024172412E-11   0.05026548245743669      2.2640595201558922E-11   0.05026548245743669      1.9019492746552355E-11   0.05026548245743669      1.841042105433693E-11    0.05026548245743669      1.7489099160531936E-11   0.05026548245743669      1.783683507035629E-11    0.05026548245743669      1.968855593302859E-11    0.05026548245743669      1.817784402851909E-11    0.05026548245743669      6.732112557845479E-12    0.05026548245743669      1.7443776495477586E-13   0.05026548245743669      2.7364333667869274E-14   0.05026548245743669      5.797501530454344E-15    0.05026548245743669      2.281191916720577E-15    0.05026548245743669      1.5165713509497628E-15   0.05026548245743669      1.2503443341516469E-15   0.05026548245743669      1.099077412283679E-15    0.05026548245743669      9.97734198246625E-16     0.05026548245743669      9.371700189142276E-16    0.05026548245743669      9.21902784777043E-16     0.05026548245743669      9.397606268853024E-16    0.05026548245743669      9.895341806595571E-16    0.05026548245743669      1.0580441345837936E-15   0.05026548245743669      1.1585358207439554E-15   0.05026548245743669      1.3064753228125928E-15   0.05026548245743669      1.5152032232016593E-15   0.05026548245743669      1.7836381233445453E-15   0.05026548245743669      2.096606581356577E-15    0.05026548245743669      2.446698244380126E-15    0.05026548245743669      2.8440615906219912E-15   0.05026548245743669
0.05654866776461628       7.067603539221348E-11    0.05654866776461628      6.522655096567354E-11    0.05654866776461628      5.71968659364466E-11     0.05654866776461628      5.1215969439318904E-11   0.05654866776461628      5.029406302320501E-11    0.05654866776461628      4.286993514008507E-11    0.05654866776461628      3.69046444076566E-11     0.05654866776461628      3.293340985600798E-11    0.05654866776461628      2.6400423334419802E-11   0.05654866776461628      2.451018100782361E-11    0.05654866776461628      2.4157821013913197E-11   0.05654866776461628      2.2014159481347624E-11   0.05654866776461628      2.1952306509310105E-11   0.05654866776461628      1.984312914137876E-11    0.05654866776461628      1.651006845852483E-11    0.05654866776461628      1.5731070373638795E-11   0.05654866776461628      1.474757265948771E-11    0.05654866776461628      1.5027595569711305E-11   0.05654866776461628      1.6760901334597112E-11   0.05654866776461628      1.560335457603999E-11    0.05654866776461628      5.7820379278280524E-12   0.05654866776461628      1.525086609991629E-13    0.05654866776461628      2.4814232157393937E-14   0.05654866776461628      5.621322056574916E-15    0.05654866776461628      2.285415770196133E-15    0.05654866776461628      1.500128729642101E-15    0.05654866776461628      1.210408762493648E-15    0.05654866776461628      1.0411749178466006E-15   0.05654866776461628      9.23459073396635E-16     0.05654866776461628      8.461872498347418E-16    0.05654866776461628      8.117361329795098E-16    0.05654866776461628      8.081083615993785E-16    0.05654866776461628      8.339358469918118E-16    0.05654866776461628      8.78078313915562E-16     0.05654866776461628      9.514936353006889E-16    0.05654866776461628      1.0665410804236473E-15   0.05654866776461628      1.23259646743785E-15     0.05654866776461628      1.4469556013365017E-15   0.05654866776461628      1.6945422100401222E-15   0.05654866776461628      1.9655205611194815E-15   0.05654866776461628      2.2621244674509405E-15   0.05654866776461628
