% Model:              Numerators_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 23:26
% Dimension:          1
% Nodes:              1001
% Expressions:        42
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.006283185307179587      1.5710045001433585E-13   0.006283185307179587     2.8726822298587524E-15   0.006283185307179587     1.0326841831677807E-15   0.006283185307179587     9.952803979935108E-18    0.006283185307179587     2.4756776856274735E-16   0.006283185307179587     2.1427959033809869E-16   0.006283185307179587     3.5819295096702953E-19   0.006283185307179587     1.4587025875149272E-16   0.006283185307179587     1.0017601225618274E-16   0.006283185307179587     7.692533107586184E-18    0.006283185307179587     1.2212066618536015E-16   0.006283185307179587     5.2381658792285284E-17   0.006283185307179587     2.4047689469958047E-17   0.006283185307179587     1.0787593583108225E-16   0.006283185307179587     2.622830478733881E-17    0.006283185307179587     4.339417910875443E-17    0.006283185307179587     9.048009893343688E-17    0.006283185307179587     1.3982338365369433E-17   0.006283185307179587     5.990652540845119E-17    0.006283185307179587     6.894439056684584E-17    0.006283185307179587     1.3177357132027446E-17   0.006283185307179587
0.012566370614359173      4.528122773817912E-13    0.012566370614359173     7.694607052488434E-15    0.012566370614359173     2.5509299894361686E-15   0.012566370614359173     2.2648754774900055E-17   0.012566370614359173     5.035591058601869E-16    0.012566370614359173     3.9065595980913965E-16   0.012566370614359173     5.703132008808194E-19    0.012566370614359173     2.0375433345599254E-16   0.012566370614359173     1.206348243390182E-16    0.012566370614359173     7.603747019532631E-18    0.012566370614359173     1.0178969242525797E-16   0.012566370614359173     3.5477423762757835E-17   0.012566370614359173     1.2372342568723008E-17   0.012566370614359173     4.273104460980158E-17    0.012566370614359173     7.593461893569286E-18    0.012566370614359173     8.075034489442266E-18    0.012566370614359173     1.056929055758687E-17    0.012566370614359173     8.90597862465329E-19     0.012566370614359173     1.3366731754244734E-18   0.012566370614359173     2.719352209490336E-19    0.012566370614359173     2.0289763861800042E-20   0.012566370614359173
0.01884955592153876       5.627023480286643E-13    0.01884955592153876      8.237150996980469E-15    0.01884955592153876      2.2949854207668815E-15   0.01884955592153876      1.6874450227858143E-17   0.01884955592153876      2.8386481651883617E-16   0.01884955592153876      1.623386854341997E-16    0.01884955592153876      1.605084720717066E-19    0.01884955592153876      3.2470123497235534E-17   0.01884955592153876      8.753266132382257E-18    0.01884955592153876      8.755293620847451E-20    0.01884955592153876      1.908816414528214E-19    0.01884955592153876      1.520471481718077E-18    0.01884955592153876      2.223829183057782E-18    0.01884955592153876      1.6723131495270603E-17   0.01884955592153876      5.86006605884368E-18     0.01884955592153876      1.2651245570878747E-17   0.01884955592153876      2.988359074182606E-17    0.01884955592153876      4.883810984068902E-18    0.01884955592153876      2.10292337383486E-17     0.01884955592153876      2.2647540555016335E-17   0.01884955592153876      3.7045221851708085E-18   0.01884955592153876
0.025132741228718346      3.780109893957779E-13    0.025132741228718346     4.033788996922419E-15    0.025132741228718346     7.268692541531637E-16    0.025132741228718346     2.9032320181042436E-18   0.025132741228718346     1.1343531782979876E-17   0.025132741228718346     4.903731819573148E-19    0.025132741228718346     2.9844044918033746E-20   0.025132741228718346     2.682100554365957E-17    0.025132741228718346     3.0140034830280916E-17   0.025132741228718346     3.087792955370935E-18    0.025132741228718346     5.246934274288531E-17    0.025132741228718346     2.2105775563717507E-17   0.025132741228718346     8.551670701536747E-18    0.025132741228718346     2.870660327586171E-17    0.025132741228718346     4.654933561919082E-18    0.025132741228718346     3.556811579321199E-18    0.025132741228718346     2.2603327008900568E-18   0.025132741228718346     2.5666571125854114E-20   0.025132741228718346     8.076673787499344E-19    0.025132741228718346     3.560623198225017E-18    0.025132741228718346     1.4774505706062715E-18   0.025132741228718346
0.031415926535897934      1.043193557822843E-13    0.03141592653589793      3.4386973787347086E-16   0.03141592653589793      3.773779457382412E-18    0.03141592653589793      1.1508971059530623E-18   0.03141592653589793      8.47111631027338E-17     0.03141592653589793      1.0837985501358386E-16   0.03141592653589793      1.8411930455975458E-19   0.03141592653589793      7.69224795701323E-17     0.03141592653589793      4.0646387396399565E-17   0.03141592653589793      1.7217206180835278E-18   0.03141592653589793      1.216068847174954E-17    0.03141592653589793      1.10608632098775E-18     0.03141592653589793      9.747186808155166E-20    0.03141592653589793      4.912478478063678E-18    0.03141592653589793      2.9008724200472852E-18   0.03141592653589793      7.986213667112966E-18    0.03141592653589793      1.9996022035209185E-17   0.03141592653589793      3.0655846025043784E-18   0.03141592653589793      1.010472977841754E-17    0.03141592653589793      7.303552848028722E-18    0.03141592653589793      5.792336840562633E-19    0.03141592653589793
0.03769911184307752       8.924002584679345E-16    0.037699111843077525     6.71012854446362E-16     0.037699111843077525     5.75669447932149E-16     0.037699111843077525     7.511407275106005E-18    0.037699111843077525     1.7732867463228697E-16   0.037699111843077525     1.1138026987310716E-16   0.037699111843077525     7.897999124329207E-20    0.037699111843077525     1.074519236568893E-17    0.037699111843077525     1.8471939102286247E-19   0.037699111843077525     3.793004915045163E-19    0.037699111843077525     1.6930778709695485E-17   0.037699111843077525     1.140319941528188E-17    0.037699111843077525     5.921049096184826E-18    0.037699111843077525     2.2869948208904003E-17   0.037699111843077525     3.4247135276825342E-18   0.037699111843077525     1.745431429395361E-18    0.037699111843077525     2.5428316962009067E-19   0.037699111843077525     1.815136122481038E-19    0.037699111843077525     4.211305127799253E-18    0.037699111843077525     8.841937214411837E-18    0.037699111843077525     2.0822374231259502E-18   0.037699111843077525
0.0439822971502571        9.40893434645288E-14     0.0439822971502571       2.730736092515462E-15    0.0439822971502571       9.515855333970995E-16    0.0439822971502571       6.615057968112949E-18    0.0439822971502571       5.958380874589571E-17    0.0439822971502571       6.303630507401947E-18    0.0439822971502571       3.1310642788175544E-20   0.0439822971502571       2.141281443449775E-17    0.0439822971502571       2.635849503096987E-17    0.0439822971502571       2.196244436059406E-18    0.0439822971502571       2.6215710478791943E-17   0.0439822971502571       5.031032518906244E-18    0.0439822971502571       2.060652844982834E-19    0.0439822971502571       1.0955573206551633E-18   0.0439822971502571       1.816114078027621E-18    0.0439822971502571       6.343557653819106E-18    0.0439822971502571       1.4755850428296843E-17   0.0439822971502571       1.754037446203703E-18    0.0439822971502571       3.3340059457924733E-18   0.0439822971502571       5.467300076097114E-19    0.0439822971502571       1.372001712445731E-19    0.0439822971502571
0.05026548245743669       1.95618931035256E-13     0.05026548245743669      2.751653468715605E-15    0.05026548245743669      4.3735529325996215E-16   0.05026548245743669      8.431279226809965E-19    0.05026548245743669      6.746518775215839E-18    0.05026548245743669      4.250334756309283E-17    0.05026548245743669      1.4206495862499456E-19   0.05026548245743669      4.634401566396794E-17    0.05026548245743669      1.727336645033948E-17    0.05026548245743669      1.8482564143352327E-19   0.05026548245743669      8.041844462341017E-19    0.05026548245743669      4.183609815188152E-18    0.05026548245743669      4.1278185325926934E-18   0.05026548245743669      1.820571395629704E-17    0.05026548245743669      2.9104050177223763E-18   0.05026548245743669      1.0215281957255333E-18   0.05026548245743669      2.0892359418681686E-19   0.05026548245743669      6.570781453943253E-19    0.05026548245743669      6.531610290206744E-18    0.05026548245743669      8.576354110588468E-18    0.05026548245743669      1.1323243041548667E-18   0.05026548245743669
0.05654866776461628       1.606780376269384E-13    0.05654866776461628      8.746824858643405E-16    0.05654866776461628      3.994792715008566E-18    0.05654866776461628      1.1973581389155292E-18   0.05654866776461628      9.481721078905508E-17    0.05654866776461628      8.475811210524043E-17    0.05654866776461628      8.639485008413984E-20    0.05654866776461628      3.572593051278127E-18    0.05654866776461628      2.0757242714208598E-18   0.05654866776461628      1.149403492908385E-18    0.05654866776461628      2.415790813313021E-17    0.05654866776461628      8.238332441600421E-18    0.05654866776461628      1.0085351347918258E-18   0.05654866776461628      1.5116955982813603E-19   0.05654866776461628      1.1680062657473902E-18   0.05654866776461628      5.0610452289079126E-18   0.05654866776461628      1.1126625987427058E-17   0.05654866776461628      9.466748383726037E-19    0.05654866776461628      2.738773248408072E-19    0.05654866776461628      1.1131579787843502E-18   0.05654866776461628      9.492018961654618E-19    0.05654866776461628
