% Model:              DipoleAxial_above2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 12 2025, 15:41
% Dimension:          1
% Nodes:              361
% Expressions:        42
% Description:        Radiation pattern
% theta                   Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.017453292519943295      4.628740249945937E-11    0.017453292519943295     5.017398254814662E-11    0.017453292519943295     5.42072169104914E-11     0.017453292519943295     5.835116932863035E-11    0.017453292519943295     6.235408065531895E-11    0.017453292519943295     6.607979375200695E-11    0.017453292519943295     6.962919465108205E-11    0.017453292519943295     7.31659659649774E-11     0.017453292519943295     7.68083575407191E-11     0.017453292519943295     8.051864567763647E-11    0.017453292519943295     8.401200411695695E-11    0.017453292519943295     8.731133690739751E-11    0.017453292519943295     9.050864980262123E-11    0.017453292519943295     9.365610129849246E-11    0.017453292519943295     9.694173198673873E-11    0.017453292519943295     1.0025701858726372E-10   0.017453292519943295     1.0338947883642716E-10   0.017453292519943295     1.063733212639909E-10    0.017453292519943295     1.0915883287767403E-10   0.017453292519943295     1.1193498403856548E-10   0.017453292519943295     1.1472537553155203E-10   0.017453292519943295
0.03490658503988659       1.724128179501612E-10    0.03490658503988659      1.8721715484049235E-10   0.03490658503988659      2.021992455515603E-10    0.03490658503988659      2.1731564907373627E-10   0.03490658503988659      2.3196852547309015E-10   0.03490658503988659      2.459204462068522E-10    0.03490658503988659      2.594393096946141E-10    0.03490658503988659      2.728235898138672E-10    0.03490658503988659      2.8629631304704995E-10   0.03490658503988659      2.9982935807954266E-10   0.03490658503988659      3.126581300900616E-10    0.03490658503988659      3.250393425788143E-10    0.03490658503988659      3.372050348979563E-10    0.03490658503988659      3.4908506119088195E-10   0.03490658503988659      3.6125781393171603E-10   0.03490658503988659      3.733516540914421E-10    0.03490658503988659      3.848510672735942E-10    0.03490658503988659      3.9603112084614135E-10   0.03490658503988659      4.066256219071147E-10    0.03490658503988659      4.171247173296152E-10    0.03490658503988659      4.274799334981835E-10    0.03490658503988659
0.05235987755982988       1.551309068911429E-10    0.05235987755982988      1.6829682726128528E-10   0.05235987755982988      1.8187938127773527E-10   0.05235987755982988      1.9572255818706107E-10   0.05235987755982988      2.0903556201738268E-10   0.05235987755982988      2.214820601078756E-10    0.05235987755982988      2.3343281909959544E-10   0.05235987755982988      2.4538226161944564E-10   0.05235987755982988      2.5762556513069046E-10   0.05235987755982988      2.700091948549124E-10    0.05235987755982988      2.816427072066493E-10    0.05235987755982988      2.9268070554337536E-10   0.05235987755982988      3.0344820563954776E-10   0.05235987755982988      3.140625418921324E-10    0.05235987755982988      3.2511963560339655E-10   0.05235987755982988      3.361803583976756E-10    0.05235987755982988      3.4661728346993894E-10   0.05235987755982988      3.565997988150613E-10    0.05235987755982988      3.659749077931331E-10    0.05235987755982988      3.753306517744328E-10    0.05235987755982988      3.8470563636317184E-10   0.05235987755982988
0.06981317007977318       5.118736157253156E-11    0.06981317007977318      5.526543018448622E-11    0.06981317007977318      6.01398855899559E-11     0.06981317007977318      6.53214486336932E-11     0.06981317007977318      6.993237783116471E-11    0.06981317007977318      7.368241443516353E-11    0.06981317007977318      7.711324595424152E-11    0.06981317007977318      8.094296711625382E-11    0.06981317007977318      8.538898497707685E-11    0.06981317007977318      8.999095148970728E-11    0.06981317007977318      9.396510298549493E-11    0.06981317007977318      9.727723109389771E-11    0.06981317007977318      1.0040417011783162E-10   0.06981317007977318      1.0382260137217134E-10   0.06981317007977318      1.0782153820855045E-10   0.06981317007977318      1.1192534942237377E-10   0.06981317007977318      1.1552253876763824E-10   0.06981317007977318      1.1856583331633424E-10   0.06981317007977318      1.2127555321433108E-10   0.06981317007977318      1.2422357811871106E-10   0.06981317007977318      1.275612885410134E-10    0.06981317007977318
0.08726646259971647       6.406744327382449E-11    0.08726646259971647      7.057033394159452E-11    0.08726646259971647      7.604222869244324E-11    0.08726646259971647      8.062764339711438E-11    0.08726646259971647      8.522268966710892E-11    0.08726646259971647      9.061861018740292E-11    0.08726646259971647      9.664134512062413E-11    0.08726646259971647      1.0234610076265425E-10   0.08726646259971647      1.0710657837679436E-10   0.08726646259971647      1.1120615900310059E-10   0.08726646259971647      1.1531481486035845E-10   0.08726646259971647      1.2016215861964595E-10   0.08726646259971647      1.2554811221153086E-10   0.08726646259971647      1.30588445757257E-10     0.08726646259971647      1.349171990487439E-10    0.08726646259971647      1.3862658865716507E-10   0.08726646259971647      1.4228293688759151E-10   0.08726646259971647      1.4656066858399867E-10   0.08726646259971647      1.5121661822871458E-10   0.08726646259971647      1.5574967866971522E-10   0.08726646259971647      1.5958036127383993E-10   0.08726646259971647
0.10471975511965977       1.1450488515690236E-10   0.10471975511965977      1.2548514189391571E-10   0.10471975511965977      1.3510673110510048E-10   0.10471975511965977      1.4374335788104217E-10   0.10471975511965977      1.5249731850692198E-10   0.10471975511965977      1.62178251478195E-10     0.10471975511965977      1.7245037650274354E-10   0.10471975511965977      1.8214278980903812E-10   0.10471975511965977      1.906180239642973E-10    0.10471975511965977      1.9837397820939583E-10   0.10471975511965977      2.0614233645664816E-10   0.10471975511965977      2.1478562964994023E-10   0.10471975511965977      2.2397997417891478E-10   0.10471975511965977      2.32564778179144E-10     0.10471975511965977      2.402762095888822E-10    0.10471975511965977      2.472596700316496E-10    0.10471975511965977      2.541717612275505E-10    0.10471975511965977      2.618403520891519E-10    0.10471975511965977      2.698109806603553E-10    0.10471975511965977      2.775126477090265E-10    0.10471975511965977      2.8425981294910536E-10   0.10471975511965977
0.12217304763960307       8.71133236811296E-11     0.12217304763960307      9.572625284605211E-11    0.12217304763960307      1.0278934870454517E-10   0.12217304763960307      1.0885362173553261E-10   0.12217304763960307      1.152660107362663E-10    0.12217304763960307      1.2286440033418747E-10   0.12217304763960307      1.311088870874559E-10    0.12217304763960307      1.3865411651206192E-10   0.12217304763960307      1.4485364677160547E-10   0.12217304763960307      1.503306121382197E-10    0.12217304763960307      1.5604041399076363E-10   0.12217304763960307      1.6281302673030107E-10   0.12217304763960307      1.7017856968056835E-10   0.12217304763960307      1.7688212448635392E-10   0.12217304763960307      1.8256453630770604E-10   0.12217304763960307      1.875082669813053E-10    0.12217304763960307      1.9255164306764003E-10   0.12217304763960307      1.9850042231222934E-10   0.12217304763960307      2.0487514685452464E-10   0.12217304763960307      2.1094033641631999E-10   0.12217304763960307      2.1598711073361942E-10   0.12217304763960307
0.13962634015954636       2.3316436946038884E-11   0.13962634015954636      2.4951513296603296E-11   0.13962634015954636      2.5333562309837432E-11   0.13962634015954636      2.6034603718717056E-11   0.13962634015954636      2.8286830621325035E-11   0.13962634015954636      3.1530125869502037E-11   0.13962634015954636      3.424699199766134E-11    0.13962634015954636      3.5554514309696277E-11   0.13962634015954636      3.5912889253190016E-11   0.13962634015954636      3.6679228233543786E-11   0.13962634015954636      3.87020334394698E-11     0.13962634015954636      4.1557496439764464E-11   0.13962634015954636      4.4008259608834575E-11   0.13962634015954636      4.524530697824257E-11    0.13962634015954636      4.5659205527225995E-11   0.13962634015954636      4.6293146330985E-11      0.13962634015954636      4.79442740604091E-11     0.13962634015954636      5.043141705710113E-11    0.13962634015954636      5.271181116856324E-11    0.13962634015954636      5.405307523832221E-11    0.13962634015954636      5.45063981945921E-11     0.13962634015954636
0.15707963267948966       6.604884668083622E-11    0.15707963267948966      7.000636851703385E-11    0.15707963267948966      7.528627185515105E-11    0.15707963267948966      8.223757900562192E-11    0.15707963267948966      8.92990243124053E-11     0.15707963267948966      9.489425564673951E-11    0.15707963267948966      9.890637493531262E-11    0.15707963267948966      1.0260611560899155E-10   0.15707963267948966      1.0745764944667992E-10   0.15707963267948966      1.1366260346134071E-10   0.15707963267948966      1.198328798174994E-10    0.15707963267948966      1.2483306370375817E-10   0.15707963267948966      1.2852871775667768E-10   0.15707963267948966      1.3180813631007188E-10   0.15707963267948966      1.3605939828187704E-10   0.15707963267948966      1.4145964253813818E-10   0.15707963267948966      1.470118617087238E-10    0.15707963267948966      1.5174054720308168E-10   0.15707963267948966      1.5515878412388302E-10   0.15707963267948966      1.580385165198104E-10    0.15707963267948966      1.6136951236568472E-10   0.15707963267948966
