% Model:              DipoleAxial_above2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 12 2025, 16:10
% Dimension:          1
% Nodes:              361
% Expressions:        42
% Description:        Radiation pattern
% theta                   Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle          Far-field norm           Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.017453292519943295      8.172458941279623E-11    0.017453292519943295     9.174378418060234E-11    0.017453292519943295     1.0329610444630604E-10   0.017453292519943295     1.123147950585283E-10    0.017453292519943295     1.1752858373149983E-10   0.017453292519943295     1.225827497793722E-10    0.017453292519943295     1.3159530385640984E-10   0.017453292519943295     1.4341910891020458E-10   0.017453292519943295     1.5332395927759466E-10   0.017453292519943295     1.5953238931273387E-10   0.017453292519943295     1.6427536210670113E-10   0.017453292519943295     1.7113429072977174E-10   0.017453292519943295     1.8144994206440957E-10   0.017453292519943295     1.9289373696446073E-10   0.017453292519943295     2.013353250542153E-10    0.017453292519943295     2.0606522119421438E-10   0.017453292519943295     2.1096919645333455E-10   0.017453292519943295     2.1925268566488603E-10   0.017453292519943295     2.300545045826874E-10    0.017453292519943295     2.4068008856948515E-10   0.017453292519943295     2.4842812262352293E-10   0.017453292519943295
0.03490658503988659       3.0693716529822447E-10   0.03490658503988659      3.4441175440023265E-10   0.03490658503988659      3.879876504184636E-10    0.03490658503988659      4.21941019265518E-10     0.03490658503988659      4.4193000201738313E-10   0.03490658503988659      4.611469580383713E-10    0.03490658503988659      4.94309241148906E-10     0.03490658503988659      5.382361308900158E-10    0.03490658503988659      5.761398791898818E-10    0.03490658503988659      6.00049436780097E-10     0.03490658503988659      6.175146421555196E-10    0.03490658503988659      6.429791794361503E-10    0.03490658503988659      6.816413153634851E-10    0.03490658503988659      7.243430851600682E-10    0.03490658503988659      7.564305562184456E-10    0.03490658503988659      7.750352256666498E-10    0.03490658503988659      7.931008744290678E-10    0.03490658503988659      8.233753804513041E-10    0.03490658503988659      8.641271789441432E-10    0.03490658503988659      9.043215036679848E-10    0.03490658503988659      9.333568322973896E-10    0.03490658503988659
0.05235987755982988       2.770505638602738E-10    0.05235987755982988      3.1048599341036103E-10   0.05235987755982988      3.496186291771731E-10    0.05235987755982988      3.8069769916804193E-10   0.05235987755982988      3.989531627330016E-10    0.05235987755982988      4.1591481460144733E-10   0.05235987755982988      4.4566105192005506E-10   0.05235987755982988      4.854857751313598E-10    0.05235987755982988      5.196511838903774E-10    0.05235987755982988      5.412444466980213E-10    0.05235987755982988      5.572752274304062E-10    0.05235987755982988      5.800655938993413E-10    0.05235987755982988      6.144805567991655E-10    0.05235987755982988      6.531937258319056E-10    0.05235987755982988      6.825293440217457E-10    0.05235987755982988      6.991609353444071E-10    0.05235987755982988      7.153862599096858E-10    0.05235987755982988      7.428033572273048E-10    0.05235987755982988      7.792294115652212E-10    0.05235987755982988      8.153759329646275E-10    0.05235987755982988      8.421636831375996E-10    0.05235987755982988
0.06981317007977318       9.126428668921297E-11    0.06981317007977318      1.0164980721472697E-10   0.06981317007977318      1.1403920369569178E-10   0.06981317007977318      1.2510509320549746E-10   0.06981317007977318      1.3153230595163491E-10   0.06981317007977318      1.3620246651510943E-10   0.06981317007977318      1.4570375208501534E-10   0.06981317007977318      1.5946736768820298E-10   0.06981317007977318      1.7056109166479094E-10   0.06981317007977318      1.7734135695636752E-10   0.06981317007977318      1.832006731134718E-10    0.06981317007977318      1.9056576590065454E-10   0.06981317007977318      2.0091738718819231E-10   0.06981317007977318      2.1399708358721437E-10   0.06981317007977318      2.2449737907950536E-10   0.06981317007977318      2.2942994049542695E-10   0.06981317007977318      2.3445409405923166E-10   0.06981317007977318      2.439854875490556E-10    0.06981317007977318      2.5543952514334415E-10   0.06981317007977318      2.668575117112786E-10    0.06981317007977318      2.7682423710546027E-10   0.06981317007977318
0.08726646259971647       1.1179314766052931E-10   0.08726646259971647      1.2674521136019645E-10   0.08726646259971647      1.4347232468109325E-10   0.08726646259971647      1.5442896698456213E-10   0.08726646259971647      1.6140189042710695E-10   0.08726646259971647      1.698681290115296E-10    0.08726646259971647      1.819067748192417E-10    0.08726646259971647      1.9700352617017584E-10   0.08726646259971647      2.1172405983438796E-10   0.08726646259971647      2.2082606085482168E-10   0.08726646259971647      2.259102051965188E-10    0.08726646259971647      2.3568352357694623E-10   0.08726646259971647      2.5134350535323283E-10   0.08726646259971647      2.660475805747352E-10    0.08726646259971647      2.7689613780868117E-10   0.08726646259971647      2.8501107919623985E-10   0.08726646259971647      2.9144286940970147E-10   0.08726646259971647      3.013995702360515E-10    0.08726646259971647      3.177744720253585E-10    0.08726646259971647      3.332016151505201E-10    0.08726646259971647      3.4172633948899615E-10   0.08726646259971647
0.10471975511965977       2.0363054849951522E-10   0.10471975511965977      2.296242713390899E-10    0.10471975511965977      2.597256861989601E-10    0.10471975511965977      2.8084017705371605E-10   0.10471975511965977      2.93802174123569E-10     0.10471975511965977      3.0836841439147725E-10   0.10471975511965977      3.301359488062714E-10    0.10471975511965977      3.577771370028801E-10    0.10471975511965977      3.841329373584952E-10    0.10471975511965977      4.01117286840085E-10     0.10471975511965977      4.1119031027788403E-10   0.10471975511965977      4.2809220062969553E-10   0.10471975511965977      4.555016531945972E-10    0.10471975511965977      4.830068023867513E-10    0.10471975511965977      5.032666203829369E-10    0.10471975511965977      5.174978141169121E-10    0.10471975511965977      5.295975504388853E-10    0.10471975511965977      5.478390653462453E-10    0.10471975511965977      5.762096510775762E-10    0.10471975511965977      6.043048599892728E-10    0.10471975511965977      6.214408120781807E-10    0.10471975511965977
0.12217304763960307       1.5440507595836773E-10   0.12217304763960307      1.740240099257253E-10    0.12217304763960307      1.974547539169856E-10    0.12217304763960307      2.1343558380488988E-10   0.12217304763960307      2.2313315591766107E-10   0.12217304763960307      2.3460417122886103E-10   0.12217304763960307      2.509616441157628E-10    0.12217304763960307      2.7123301123392437E-10   0.12217304763960307      2.9164494838134006E-10   0.12217304763960307      3.054515017351202E-10    0.12217304763960307      3.12675064598644E-10     0.12217304763960307      3.2480681685576793E-10   0.12217304763960307      3.4598255939159187E-10   0.12217304763960307      3.6702830204148294E-10   0.12217304763960307      3.820882792966279E-10    0.12217304763960307      3.9348255451557494E-10   0.12217304763960307      4.029947099782744E-10    0.12217304763960307      4.158437383257663E-10    0.12217304763960307      4.3717244238170193E-10   0.12217304763960307      4.594880424609963E-10    0.12217304763960307      4.723886087148036E-10    0.12217304763960307
0.13962634015954636       2.8900630326855744E-11   0.13962634015954636      3.2073626691848505E-11   0.13962634015954636      3.834507046449696E-11    0.13962634015954636      4.174529121374482E-11    0.13962634015954636      4.1932049570323466E-11   0.13962634015954636      4.440634678792093E-11    0.13962634015954636      4.866316106084909E-11    0.13962634015954636      5.156412861314543E-11    0.13962634015954636      5.50333827649629E-11     0.13962634015954636      5.957761479936223E-11    0.13962634015954636      6.058122329820771E-11    0.13962634015954636      6.06261632207544E-11     0.13962634015954636      6.566865738957662E-11    0.13962634015954636      7.166438422568352E-11    0.13962634015954636      7.313144374998802E-11    0.13962634015954636      7.461561876758909E-11    0.13962634015954636      7.805144122184335E-11    0.13962634015954636      7.969415774405694E-11    0.13962634015954636      8.232613176048024E-11    0.13962634015954636      8.878260164192235E-11    0.13962634015954636      9.20634870312949E-11     0.13962634015954636
0.15707963267948966       1.1701440797311893E-10   0.15707963267948966      1.3036051605510968E-10   0.15707963267948966      1.4550514548436936E-10   0.15707963267948966      1.5966155672813924E-10   0.15707963267948966      1.6761696189880653E-10   0.15707963267948966      1.7315419200489552E-10   0.15707963267948966      1.861092738383864E-10    0.15707963267948966      2.0459164619940176E-10   0.15707963267948966      2.1772002093743046E-10   0.15707963267948966      2.2516743500121635E-10   0.15707963267948966      2.334356904486034E-10    0.15707963267948966      2.437867642524409E-10    0.15707963267948966      2.567123579260188E-10    0.15707963267948966      2.733911271447594E-10    0.15707963267948966      2.8685811601024396E-10   0.15707963267948966      2.919727210321822E-10    0.15707963267948966      2.98230821885125E-10     0.15707963267948966      3.1228485937397076E-10   0.15707963267948966      3.2723696784157367E-10   0.15707963267948966      3.40090490752333E-10     0.15707963267948966      3.5277970255507086E-10   0.15707963267948966
